,task_id,pass_5
0,5,1.0
1,6,0.9761904761904762
2,8,0.7777777777777778
3,9,1.0
4,11,1.0
5,12,1.0
6,13,1.0
7,17,1.0
8,18,0.0
9,19,1.0
10,20,0.0
11,21,0.9166666666666666
12,22,0.5
13,23,1.0
14,24,0.9761904761904762
15,25,0.0
16,26,1.0
17,27,1.0
18,31,1.0
19,35,0.9761904761904762
20,36,1.0
21,37,0.9761904761904762
22,41,1.0
23,42,1.0
24,43,1.0
25,44,1.0
26,45,0.9761904761904762
27,46,0.7777777777777778
28,47,0.9761904761904762
29,52,1.0
30,54,0.9761904761904762
31,55,0.7777777777777778
32,56,1.0
33,57,0.9761904761904762
34,58,0.7777777777777778
35,59,0.9761904761904762
36,60,0.7777777777777778
37,62,1.0
38,64,0.0
39,65,1.0
40,67,1.0
41,68,1.0
42,70,1.0
43,71,0.0
44,72,1.0
45,73,1.0
46,74,1.0
47,75,0.0
48,76,1.0
49,77,0.0
50,78,0.0
51,79,1.0
52,80,0.0
53,81,1.0
54,83,1.0
55,84,1.0
56,86,1.0
57,214,0.0
58,215,1.0
59,219,1.0
60,220,1.0
61,224,0.0
62,226,0.0
63,227,1.0
64,229,1.0
65,230,1.0
66,231,0.0
67,232,1.0
68,233,0.0
69,234,0.0
70,235,1.0
71,240,0.0
72,241,0.0
73,242,1.0
74,248,1.0
75,249,1.0
76,250,1.0
77,253,1.0
78,255,1.0
79,256,1.0
80,258,1.0
81,259,1.0
82,260,0.0
83,262,0.0
84,263,1.0
85,264,0.0
86,266,0.0
87,267,1.0
88,268,1.0
89,269,1.0
90,281,1.0
91,282,1.0
92,286,1.0
93,291,1.0
94,366,1.0
95,369,1.0
96,370,1.0
97,380,0.0
98,381,0.0
99,386,0.0
100,390,0.0
101,392,1.0
102,395,1.0
103,396,1.0
104,401,1.0
105,404,0.0
106,405,1.0
107,406,0.0
108,410,0.0
109,413,0.0
110,414,1.0
111,420,1.0
112,423,1.0
113,424,0.0
114,427,0.0
115,430,1.0
116,431,1.0
117,442,1.0
118,443,0.0
119,444,0.0
120,445,0.9761904761904762
121,451,1.0
122,460,1.0
123,462,1.0
124,465,0.0
125,468,0.0
126,470,0.7777777777777778
127,471,0.0
128,474,0.7777777777777778
129,475,1.0
130,476,1.0
131,482,1.0
132,483,1.0
133,485,1.0
134,486,0.7777777777777778
135,487,1.0
136,488,1.0
137,490,1.0
138,492,1.0
139,493,0.0
140,494,1.0
141,495,1.0
142,496,1.0
143,498,1.0
144,499,1.0
145,500,1.0
146,501,1.0
147,505,1.0
148,506,1.0
149,507,1.0
150,509,0.0
151,510,1.0
152,511,0.9761904761904762
153,512,1.0
154,513,1.0
155,514,1.0
156,515,0.0
157,516,0.7777777777777778
158,517,0.7777777777777778
159,518,1.0
160,519,1.0
161,520,1.0
162,521,0.9166666666666666
163,522,0.5
164,523,1.0
165,524,0.0
166,525,0.0
167,526,1.0
168,527,1.0
169,547,1.0
170,551,1.0
171,552,1.0
172,555,1.0
173,557,1.0
174,558,1.0
175,87,1.0
176,88,0.0
177,89,0.0
178,92,0.0
179,93,1.0
180,95,1.0
181,96,0.0
182,97,1.0
183,99,1.0
184,100,1.0
185,101,1.0
186,103,1.0
187,104,1.0
188,106,1.0
189,107,1.0
190,108,1.0
191,109,1.0
192,110,1.0
193,111,0.9761904761904762
194,112,1.0
195,113,1.0
196,114,1.0
197,115,1.0
198,116,0.0
199,117,1.0
200,118,1.0
201,119,1.0
202,120,1.0
203,121,1.0
204,122,1.0
205,123,1.0
206,124,1.0
207,125,0.7777777777777778
208,127,1.0
