task_id,result_return_code,model_name
1,0,gpt-4
5,0,gpt-4
6,0,gpt-4
8,0,gpt-4
9,3,gpt-4
11,0,gpt-4
12,0,gpt-4
13,1,gpt-4
17,0,gpt-4
18,3,gpt-4
19,1,gpt-4
21,1,gpt-4
22,0,gpt-4
23,0,gpt-4
24,0,gpt-4
25,0,gpt-4
26,0,gpt-4
28,0,gpt-4
31,0,gpt-4
35,0,gpt-4
36,0,gpt-4
41,0,gpt-4
42,2,gpt-4
43,0,gpt-4
44,0,gpt-4
45,0,gpt-4
46,1,gpt-4
47,0,gpt-4
52,0,gpt-4
53,1,gpt-4
54,0,gpt-4
55,0,gpt-4
56,0,gpt-4
58,3,gpt-4
59,0,gpt-4
60,1,gpt-4
62,0,gpt-4
64,1,gpt-4
65,1,gpt-4
67,1,gpt-4
68,0,gpt-4
70,0,gpt-4
71,1,gpt-4
72,0,gpt-4
73,0,gpt-4
75,1,gpt-4
76,0,gpt-4
77,1,gpt-4
78,1,gpt-4
79,0,gpt-4
80,0,gpt-4
81,0,gpt-4
83,3,gpt-4
84,0,gpt-4
86,0,gpt-4
213,1,gpt-4
214,0,gpt-4
215,1,gpt-4
219,0,gpt-4
220,1,gpt-4
221,0,gpt-4
224,1,gpt-4
226,1,gpt-4
227,0,gpt-4
229,1,gpt-4
230,1,gpt-4
231,0,gpt-4
232,0,gpt-4
233,0,gpt-4
234,0,gpt-4
235,0,gpt-4
241,0,gpt-4
242,0,gpt-4
248,0,gpt-4
249,3,gpt-4
250,0,gpt-4
255,0,gpt-4
256,0,gpt-4
259,0,gpt-4
260,1,gpt-4
262,1,gpt-4
263,1,gpt-4
264,1,gpt-4
266,1,gpt-4
267,1,gpt-4
268,0,gpt-4
269,0,gpt-4
281,0,gpt-4
282,0,gpt-4
286,0,gpt-4
290,0,gpt-4
291,0,gpt-4
370,1,gpt-4
380,1,gpt-4
381,0,gpt-4
386,0,gpt-4
390,0,gpt-4
392,0,gpt-4
395,2,gpt-4
396,1,gpt-4
401,3,gpt-4
404,1,gpt-4
405,0,gpt-4
406,7,gpt-4
410,1,gpt-4
412,0,gpt-4
413,0,gpt-4
420,0,gpt-4
423,0,gpt-4
424,1,gpt-4
427,1,gpt-4
430,0,gpt-4
431,0,gpt-4
433,2,gpt-4
443,2,gpt-4
444,1,gpt-4
445,1,gpt-4
451,1,gpt-4
460,1,gpt-4
462,0,gpt-4
465,0,gpt-4
468,1,gpt-4
469,1,gpt-4
470,0,gpt-4
471,0,gpt-4
474,0,gpt-4
475,0,gpt-4
476,0,gpt-4
482,0,gpt-4
483,0,gpt-4
486,0,gpt-4
487,0,gpt-4
488,0,gpt-4
490,1,gpt-4
492,1,gpt-4
493,1,gpt-4
494,1,gpt-4
495,2,gpt-4
496,0,gpt-4
498,0,gpt-4
499,0,gpt-4
500,0,gpt-4
501,0,gpt-4
505,0,gpt-4
506,3,gpt-4
507,0,gpt-4
509,0,gpt-4
510,0,gpt-4
511,0,gpt-4
512,0,gpt-4
513,0,gpt-4
514,0,gpt-4
515,0,gpt-4
516,1,gpt-4
517,0,gpt-4
518,0,gpt-4
519,0,gpt-4
520,1,gpt-4
521,3,gpt-4
522,0,gpt-4
523,0,gpt-4
524,0,gpt-4
525,1,gpt-4
526,0,gpt-4
527,3,gpt-4
546,0,gpt-4
547,0,gpt-4
551,1,gpt-4
552,1,gpt-4
555,0,gpt-4
557,0,gpt-4
558,0,gpt-4
88,0,gpt-4
89,0,gpt-4
92,0,gpt-4
93,0,gpt-4
95,1,gpt-4
96,0,gpt-4
97,0,gpt-4
99,0,gpt-4
100,1,gpt-4
101,1,gpt-4
103,4,gpt-4
106,4,gpt-4
107,0,gpt-4
108,0,gpt-4
110,1,gpt-4
112,1,gpt-4
116,1,gpt-4
117,0,gpt-4
118,0,gpt-4
121,0,gpt-4
122,0,gpt-4
123,0,gpt-4
124,0,gpt-4
125,1,gpt-4
127,0,gpt-4
129,0,gpt-4
130,0,gpt-4
133,0,gpt-4
134,0,gpt-4
135,2,gpt-4
138,0,gpt-4
139,1,gpt-4
292,1,gpt-4
298,3,gpt-4
299,4,gpt-4
305,1,gpt-4
306,0,gpt-4
308,1,gpt-4
315,0,gpt-4
317,0,gpt-4
318,0,gpt-4
319,0,gpt-4
320,0,gpt-4
322,0,gpt-4
323,0,gpt-4
326,1,gpt-4
447,4,gpt-4
450,0,gpt-4
528,1,gpt-4
529,1,gpt-4
530,1,gpt-4
532,0,gpt-4
533,0,gpt-4
534,1,gpt-4
535,0,gpt-4
536,0,gpt-4
537,1,gpt-4
540,1,gpt-4
541,1,gpt-4
542,1,gpt-4
543,1,gpt-4
544,0,gpt-4
545,1,gpt-4
559,0,gpt-4
560,0,gpt-4
140,1,gpt-4
142,4,gpt-4
143,3,gpt-4
144,6,gpt-4
145,1,gpt-4
146,0,gpt-4
149,0,gpt-4
150,0,gpt-4
151,0,gpt-4
153,0,gpt-4
154,0,gpt-4
155,1,gpt-4
156,4,gpt-4
157,4,gpt-4
158,0,gpt-4
159,0,gpt-4
160,3,gpt-4
161,0,gpt-4
162,0,gpt-4
165,0,gpt-4
166,0,gpt-4
167,0,gpt-4
168,0,gpt-4
169,1,gpt-4
331,1,gpt-4
334,0,gpt-4
341,0,gpt-4
342,1,gpt-4
565,1,gpt-4
566,0,gpt-4
567,0,gpt-4
569,0,gpt-4
571,1,gpt-4
575,0,gpt-4
576,0,gpt-4
577,0,gpt-4
578,2,gpt-4
581,1,gpt-4
582,3,gpt-4
583,0,gpt-4
584,1,gpt-4
585,2,gpt-4
586,1,gpt-4
170,1,gpt-4
173,1,gpt-4
174,0,gpt-4
176,1,gpt-4
177,1,gpt-4
178,0,gpt-4
179,0,gpt-4
180,0,gpt-4
181,0,gpt-4
182,1,gpt-4
348,0,gpt-4
349,1,gpt-4
350,1,gpt-4
351,0,gpt-4
352,1,gpt-4
609,0,gpt-4
611,2,gpt-4
612,1,gpt-4
614,0,gpt-4
615,0,gpt-4
616,0,gpt-4
617,1,gpt-4
625,1,gpt-4
626,1,gpt-4
628,1,gpt-4
183,1,gpt-4
184,2,gpt-4
187,1,gpt-4
188,0,gpt-4
189,4,gpt-4
190,0,gpt-4
191,0,gpt-4
192,0,gpt-4
193,0,gpt-4
194,0,gpt-4
195,0,gpt-4
196,0,gpt-4
197,1,gpt-4
198,0,gpt-4
200,0,gpt-4
202,0,gpt-4
203,0,gpt-4
204,0,gpt-4
205,0,gpt-4
206,0,gpt-4
207,0,gpt-4
208,0,gpt-4
209,1,gpt-4
210,0,gpt-4
354,0,gpt-4
355,0,gpt-4
356,0,gpt-4
357,0,gpt-4
358,0,gpt-4
359,0,gpt-4
360,0,gpt-4
361,0,gpt-4
365,0,gpt-4
481,1,gpt-4
589,0,gpt-4
590,4,gpt-4
591,0,gpt-4
592,0,gpt-4
594,0,gpt-4
595,0,gpt-4
597,0,gpt-4
598,0,gpt-4
599,0,gpt-4
601,0,gpt-4
603,0,gpt-4
604,0,gpt-4
605,0,gpt-4
606,0,gpt-4
