,task_id,result_return_code,model
0,100,1,deepseek-coder-6.7b-instruct
1,101,1,deepseek-coder-6.7b-instruct
2,103,1,deepseek-coder-6.7b-instruct
3,106,1,deepseek-coder-6.7b-instruct
4,107,0,deepseek-coder-6.7b-instruct
5,108,1,deepseek-coder-6.7b-instruct
6,109,0,deepseek-coder-6.7b-instruct
7,110,0,deepseek-coder-6.7b-instruct
8,112,0,deepseek-coder-6.7b-instruct
9,114,1,deepseek-coder-6.7b-instruct
10,115,0,deepseek-coder-6.7b-instruct
11,116,1,deepseek-coder-6.7b-instruct
12,117,0,deepseek-coder-6.7b-instruct
13,118,0,deepseek-coder-6.7b-instruct
14,11,0,deepseek-coder-6.7b-instruct
15,120,1,deepseek-coder-6.7b-instruct
16,121,0,deepseek-coder-6.7b-instruct
17,122,0,deepseek-coder-6.7b-instruct
18,123,1,deepseek-coder-6.7b-instruct
19,124,0,deepseek-coder-6.7b-instruct
20,125,1,deepseek-coder-6.7b-instruct
21,127,1,deepseek-coder-6.7b-instruct
22,129,0,deepseek-coder-6.7b-instruct
23,12,0,deepseek-coder-6.7b-instruct
24,130,1,deepseek-coder-6.7b-instruct
25,133,1,deepseek-coder-6.7b-instruct
26,134,1,deepseek-coder-6.7b-instruct
27,135,0,deepseek-coder-6.7b-instruct
28,138,0,deepseek-coder-6.7b-instruct
29,139,1,deepseek-coder-6.7b-instruct
30,13,1,deepseek-coder-6.7b-instruct
31,140,1,deepseek-coder-6.7b-instruct
32,142,0,deepseek-coder-6.7b-instruct
33,143,0,deepseek-coder-6.7b-instruct
34,144,0,deepseek-coder-6.7b-instruct
35,145,1,deepseek-coder-6.7b-instruct
36,146,1,deepseek-coder-6.7b-instruct
37,149,1,deepseek-coder-6.7b-instruct
38,150,1,deepseek-coder-6.7b-instruct
39,151,0,deepseek-coder-6.7b-instruct
40,153,1,deepseek-coder-6.7b-instruct
41,154,1,deepseek-coder-6.7b-instruct
42,155,1,deepseek-coder-6.7b-instruct
43,156,0,deepseek-coder-6.7b-instruct
44,157,0,deepseek-coder-6.7b-instruct
45,158,0,deepseek-coder-6.7b-instruct
46,159,0,deepseek-coder-6.7b-instruct
47,160,1,deepseek-coder-6.7b-instruct
48,161,0,deepseek-coder-6.7b-instruct
49,162,0,deepseek-coder-6.7b-instruct
50,165,1,deepseek-coder-6.7b-instruct
51,166,0,deepseek-coder-6.7b-instruct
52,167,0,deepseek-coder-6.7b-instruct
53,168,1,deepseek-coder-6.7b-instruct
54,169,0,deepseek-coder-6.7b-instruct
55,170,0,deepseek-coder-6.7b-instruct
56,173,0,deepseek-coder-6.7b-instruct
57,174,1,deepseek-coder-6.7b-instruct
58,175,1,deepseek-coder-6.7b-instruct
59,176,1,deepseek-coder-6.7b-instruct
60,177,0,deepseek-coder-6.7b-instruct
61,178,0,deepseek-coder-6.7b-instruct
62,179,1,deepseek-coder-6.7b-instruct
63,17,1,deepseek-coder-6.7b-instruct
64,180,1,deepseek-coder-6.7b-instruct
65,181,0,deepseek-coder-6.7b-instruct
66,182,1,deepseek-coder-6.7b-instruct
67,183,1,deepseek-coder-6.7b-instruct
68,184,1,deepseek-coder-6.7b-instruct
69,187,0,deepseek-coder-6.7b-instruct
70,188,0,deepseek-coder-6.7b-instruct
71,189,0,deepseek-coder-6.7b-instruct
72,18,0,deepseek-coder-6.7b-instruct
73,190,1,deepseek-coder-6.7b-instruct
74,191,1,deepseek-coder-6.7b-instruct
75,192,1,deepseek-coder-6.7b-instruct
76,193,1,deepseek-coder-6.7b-instruct
77,195,1,deepseek-coder-6.7b-instruct
78,196,1,deepseek-coder-6.7b-instruct
79,197,0,deepseek-coder-6.7b-instruct
80,198,0,deepseek-coder-6.7b-instruct
81,19,1,deepseek-coder-6.7b-instruct
82,1,0,deepseek-coder-6.7b-instruct
83,200,1,deepseek-coder-6.7b-instruct
84,202,1,deepseek-coder-6.7b-instruct
85,203,1,deepseek-coder-6.7b-instruct
86,204,0,deepseek-coder-6.7b-instruct
87,205,1,deepseek-coder-6.7b-instruct
88,206,1,deepseek-coder-6.7b-instruct
89,207,0,deepseek-coder-6.7b-instruct
90,208,1,deepseek-coder-6.7b-instruct
91,209,1,deepseek-coder-6.7b-instruct
92,20,1,deepseek-coder-6.7b-instruct
93,210,0,deepseek-coder-6.7b-instruct
94,213,0,deepseek-coder-6.7b-instruct
95,214,1,deepseek-coder-6.7b-instruct
96,215,0,deepseek-coder-6.7b-instruct
97,216,0,deepseek-coder-6.7b-instruct
98,219,0,deepseek-coder-6.7b-instruct
99,21,0,deepseek-coder-6.7b-instruct
100,220,0,deepseek-coder-6.7b-instruct
101,221,1,deepseek-coder-6.7b-instruct
102,224,0,deepseek-coder-6.7b-instruct
103,226,1,deepseek-coder-6.7b-instruct
104,227,0,deepseek-coder-6.7b-instruct
105,229,0,deepseek-coder-6.7b-instruct
106,22,1,deepseek-coder-6.7b-instruct
107,230,0,deepseek-coder-6.7b-instruct
108,231,0,deepseek-coder-6.7b-instruct
109,232,0,deepseek-coder-6.7b-instruct
110,233,0,deepseek-coder-6.7b-instruct
111,234,0,deepseek-coder-6.7b-instruct
112,235,0,deepseek-coder-6.7b-instruct
113,23,1,deepseek-coder-6.7b-instruct
114,240,0,deepseek-coder-6.7b-instruct
115,241,0,deepseek-coder-6.7b-instruct
116,242,0,deepseek-coder-6.7b-instruct
117,244,0,deepseek-coder-6.7b-instruct
118,248,0,deepseek-coder-6.7b-instruct
119,249,1,deepseek-coder-6.7b-instruct
120,24,0,deepseek-coder-6.7b-instruct
121,250,0,deepseek-coder-6.7b-instruct
122,252,1,deepseek-coder-6.7b-instruct
123,253,0,deepseek-coder-6.7b-instruct
124,255,0,deepseek-coder-6.7b-instruct
125,256,0,deepseek-coder-6.7b-instruct
126,258,1,deepseek-coder-6.7b-instruct
127,259,1,deepseek-coder-6.7b-instruct
128,25,0,deepseek-coder-6.7b-instruct
129,260,0,deepseek-coder-6.7b-instruct
130,262,0,deepseek-coder-6.7b-instruct
131,263,0,deepseek-coder-6.7b-instruct
132,264,1,deepseek-coder-6.7b-instruct
133,266,1,deepseek-coder-6.7b-instruct
134,267,0,deepseek-coder-6.7b-instruct
135,268,0,deepseek-coder-6.7b-instruct
136,269,0,deepseek-coder-6.7b-instruct
137,26,0,deepseek-coder-6.7b-instruct
