,task_id,pass_5
0,5,1.0
1,6,1.0
2,8,1.0
3,9,1.0
4,11,1.0
5,12,1.0
6,13,1.0
7,17,1.0
8,18,0.0
9,19,1.0
10,20,0.0
11,21,1.0
12,22,0.0
13,23,1.0
14,24,0.0
15,25,1.0
16,26,1.0
17,27,0.996031746031746
18,31,1.0
19,35,1.0
20,36,1.0
21,37,1.0
22,41,1.0
23,42,1.0
24,43,0.0
25,44,1.0
26,45,0.996031746031746
27,46,1.0
28,47,1.0
29,51,0.996031746031746
30,52,1.0
31,54,0.996031746031746
32,55,1.0
33,56,1.0
34,57,1.0
35,58,0.996031746031746
36,59,1.0
37,60,0.0
38,62,1.0
39,64,0.0
40,65,1.0
41,67,0.0
42,68,1.0
43,71,1.0
44,72,1.0
45,73,1.0
46,74,1.0
47,75,1.0
48,76,1.0
49,77,1.0
50,78,1.0
51,79,1.0
52,80,1.0
53,81,1.0
54,83,1.0
55,86,1.0
56,214,1.0
57,215,0.996031746031746
58,219,1.0
59,220,0.9761904761904762
60,224,1.0
61,226,1.0
62,227,1.0
63,229,1.0
64,230,1.0
65,231,1.0
66,232,1.0
67,233,0.0
68,234,0.0
69,235,0.0
70,240,1.0
71,241,0.0
72,242,1.0
73,248,1.0
74,249,1.0
75,250,1.0
76,253,1.0
77,255,1.0
78,256,1.0
79,258,1.0
80,259,1.0
81,260,1.0
82,262,1.0
83,263,1.0
84,264,1.0
85,266,1.0
86,267,1.0
87,268,1.0
88,269,0.0
89,281,1.0
90,282,1.0
91,286,1.0
92,366,1.0
93,369,1.0
94,370,1.0
95,380,1.0
96,381,1.0
97,386,1.0
98,390,1.0
99,392,0.0
100,395,1.0
101,396,1.0
102,401,1.0
103,404,1.0
104,405,1.0
105,406,1.0
106,410,0.0
107,413,1.0
108,414,1.0
109,420,1.0
110,423,0.0
111,424,1.0
112,427,1.0
113,430,1.0
114,431,1.0
115,433,0.0
116,442,1.0
117,443,0.0
118,444,0.0
119,445,0.0
120,451,1.0
121,460,1.0
122,462,1.0
123,465,0.996031746031746
124,468,1.0
125,469,1.0
126,470,0.0
127,471,0.0
128,474,0.0
129,475,1.0
130,476,0.996031746031746
131,482,0.9761904761904762
132,483,1.0
133,485,0.5
134,486,0.996031746031746
135,487,1.0
136,488,1.0
137,490,1.0
138,492,1.0
139,493,1.0
140,494,1.0
141,495,1.0
142,496,1.0
143,498,0.0
144,499,0.0
145,500,1.0
146,501,1.0
147,505,1.0
148,506,1.0
149,507,1.0
150,509,0.0
151,510,1.0
152,511,1.0
153,512,0.0
154,513,1.0
155,514,0.0
156,515,1.0
157,516,1.0
158,517,1.0
159,518,1.0
160,519,0.0
161,520,0.0
162,521,0.0
163,522,0.0
164,523,1.0
165,524,0.0
166,525,0.0
167,526,1.0
168,547,1.0
169,551,1.0
170,552,0.0
171,555,1.0
172,557,1.0
173,558,1.0
174,87,0.0
175,88,0.0
176,89,1.0
177,92,0.0
178,93,0.0
179,95,1.0
180,96,0.0
181,97,1.0
182,99,1.0
183,100,0.0
184,101,0.0
185,103,0.0
186,106,0.0
187,107,0.0
188,108,1.0
189,109,1.0
190,110,1.0
191,112,0.0
192,113,0.0
193,114,1.0
194,115,1.0
195,116,0.0
196,117,0.0
197,118,0.0
198,119,0.0
199,120,0.0
200,121,1.0
201,122,1.0
202,123,0.0
203,124,1.0
204,125,0.0
205,127,0.0
206,129,0.0
207,130,0.0
208,133,0.0
209,134,0.0
210,135,1.0
211,137,1.0
212,138,1.0
213,139,0.0
214,292,0.0
215,293,0.0
216,298,0.0
217,299,0.0
218,300,0.0
219,305,0.0
220,306,0.0
221,308,1.0
222,313,0.0
223,315,1.0
224,317,1.0
225,318,1.0
226,319,1.0
227,320,1.0
228,322,1.0
229,323,1.0
230,326,0.0
231,447,0.0
232,449,1.0
233,450,1.0
234,528,0.0
235,529,0.0
236,530,1.0
237,532,1.0
238,533,1.0
239,534,1.0
240,535,0.0
241,536,0.0
242,537,0.0
243,540,1.0
244,541,1.0
245,542,1.0
246,543,1.0
247,544,1.0
248,545,1.0
249,559,1.0
250,560,0.0
251,140,0.0
252,141,0.0
253,142,0.0
254,143,1.0
255,144,1.0
256,145,0.0
257,146,1.0
258,147,0.0
259,148,1.0
260,150,0.0
261,151,0.0
262,152,0.0
263,153,0.0
264,154,0.0
265,155,1.0
266,156,1.0
267,157,0.0
268,158,1.0
269,159,1.0
270,160,0.0
271,161,1.0
272,162,0.0
273,163,0.0
274,164,0.0
275,165,0.0
276,166,1.0
277,167,1.0
278,168,0.0
279,331,1.0
280,334,0.0
281,341,0.0
282,342,0.0
283,343,0.0
284,565,1.0
285,566,1.0
286,567,1.0
287,569,1.0
288,570,1.0
289,571,1.0
290,572,1.0
291,575,1.0
292,576,0.0
293,577,1.0
294,578,0.0
295,581,0.9761904761904762
296,582,1.0
297,583,1.0
298,584,1.0
299,585,1.0
300,586,0.0
301,170,1.0
302,173,1.0
303,174,0.996031746031746
304,176,0.996031746031746
305,177,1.0
306,178,1.0
307,179,0.0
308,180,1.0
309,181,1.0
310,348,1.0
311,349,1.0
312,350,1.0
313,352,1.0
314,609,1.0
315,611,1.0
316,612,1.0
317,614,1.0
318,615,1.0
319,616,1.0
320,625,1.0
321,626,1.0
322,628,0.0
323,630,1.0
324,631,0.0
325,632,0.0
326,633,1.0
327,183,0.7777777777777778
328,184,1.0
329,187,1.0
330,188,1.0
331,189,1.0
332,190,1.0
333,191,1.0
334,196,1.0
335,197,1.0
336,198,1.0
337,200,1.0
338,202,1.0
339,203,0.0
340,204,1.0
341,205,1.0
342,206,0.0
343,207,1.0
344,209,0.0
345,210,1.0
346,354,1.0
347,355,1.0
348,356,1.0
349,357,1.0
350,358,1.0
351,365,1.0
352,481,1.0
353,589,1.0
354,590,1.0
355,592,1.0
356,594,1.0
357,595,1.0
358,597,1.0
359,598,1.0
360,599,1.0
361,601,1.0
362,603,1.0
363,604,1.0
364,605,1.0
365,606,1.0
