,task_id,pass_3
0,1,1.0
1,5,1.0
2,6,1.0
3,8,1.0
4,9,1.0
5,11,1.0
6,12,1.0
7,13,1.0
8,17,1.0
9,18,1.0
10,19,0.5333333333333333
11,20,1.0
12,21,1.0
13,22,1.0
14,23,0.0
15,24,0.0
16,26,0.7083333333333333
17,27,0.0
18,28,1.0
19,31,1.0
20,35,1.0
21,36,1.0
22,41,0.5333333333333333
23,42,1.0
24,43,0.5333333333333333
25,44,1.0
26,45,0.30000000000000004
27,46,0.30000000000000004
28,47,0.0
29,52,1.0
30,54,0.5333333333333333
31,55,1.0
32,58,0.7083333333333333
33,59,1.0
34,60,0.0
35,62,1.0
36,64,0.0
37,65,1.0
38,67,0.30000000000000004
39,68,1.0
40,70,1.0
41,71,0.0
42,73,0.0
43,74,1.0
44,75,0.0
45,76,0.5333333333333333
46,77,0.0
47,78,0.0
48,79,0.0
49,80,0.0
50,81,1.0
51,83,1.0
52,84,1.0
53,86,1.0
54,214,0.0
55,215,1.0
56,219,0.0
57,220,1.0
58,224,1.0
59,226,0.0
60,229,0.0
61,230,0.0
62,231,0.0
63,232,1.0
64,233,1.0
65,234,0.0
66,235,1.0
67,241,0.0
68,242,1.0
69,248,0.0
70,256,1.0
71,259,1.0
72,260,0.0
73,262,1.0
74,264,0.0
75,267,0.0
76,268,1.0
77,269,0.0
78,281,1.0
79,282,1.0
80,286,0.0
81,290,1.0
82,291,0.0
83,369,0.0
84,370,1.0
85,380,1.0
86,381,1.0
87,390,1.0
88,392,0.0
89,395,1.0
90,396,1.0
91,401,1.0
92,404,0.0
93,405,1.0
94,406,0.0
95,410,1.0
96,413,1.0
97,420,1.0
98,423,0.0
99,424,0.0
100,427,1.0
101,430,1.0
102,431,0.0
103,433,1.0
104,444,0.7083333333333333
105,445,1.0
106,451,0.7083333333333333
107,460,1.0
108,462,0.8333333333333334
109,465,1.0
110,468,0.0
111,469,1.0
112,470,1.0
113,471,0.0
114,474,1.0
115,475,1.0
116,476,0.0
117,482,1.0
118,483,0.0
119,485,0.0
120,486,1.0
121,487,1.0
122,488,1.0
123,490,1.0
124,492,0.0
125,493,1.0
126,494,0.0
127,495,1.0
128,496,0.0
129,498,1.0
130,499,0.0
131,500,1.0
132,501,1.0
133,505,1.0
134,506,1.0
135,507,1.0
136,509,1.0
137,510,0.0
138,511,1.0
139,512,1.0
140,513,1.0
141,514,1.0
142,515,1.0
143,516,0.0
144,517,0.0
145,518,1.0
146,519,0.0
147,520,1.0
148,521,0.0
149,522,1.0
150,523,1.0
151,524,1.0
152,525,0.0
153,526,1.0
154,527,0.0
155,546,1.0
156,547,0.0
157,551,1.0
158,552,1.0
159,555,0.0
160,557,1.0
161,558,0.0
162,87,1.0
163,88,1.0
164,89,1.0
165,92,0.0
166,93,1.0
167,95,1.0
168,96,1.0
169,97,1.0
170,99,1.0
171,100,0.0
172,101,0.0
173,103,0.7083333333333333
174,106,1.0
175,107,1.0
176,108,1.0
177,110,0.0
178,112,1.0
179,116,0.0
180,117,0.7083333333333333
181,118,1.0
182,121,1.0
183,122,0.0
184,123,1.0
185,124,1.0
186,125,0.0
187,129,1.0
188,130,0.7083333333333333
189,133,0.0
190,134,1.0
191,135,1.0
192,138,1.0
193,139,1.0
194,292,1.0
195,298,0.7083333333333333
196,299,1.0
197,315,1.0
198,317,0.0
199,318,1.0
200,319,1.0
201,320,1.0
202,322,0.5333333333333333
203,323,1.0
204,326,1.0
205,447,1.0
206,450,1.0
207,528,0.7083333333333333
208,529,0.30000000000000004
209,530,1.0
210,532,0.30000000000000004
211,533,0.5333333333333333
212,534,1.0
213,535,1.0
214,536,0.30000000000000004
215,537,0.7083333333333333
216,540,0.30000000000000004
217,541,0.0
218,542,0.5333333333333333
219,543,0.5333333333333333
220,544,0.30000000000000004
221,545,1.0
222,559,0.0
223,560,1.0
224,140,1.0
225,141,0.0
226,142,1.0
227,143,1.0
228,144,1.0
229,146,1.0
230,150,0.0
231,151,1.0
232,153,0.30000000000000004
233,155,0.30000000000000004
234,156,0.0
235,157,1.0
236,158,1.0
237,159,1.0
238,160,0.0
239,161,0.0
240,162,1.0
241,165,1.0
242,166,1.0
243,167,1.0
244,168,0.0
245,169,0.7083333333333333
246,331,1.0
247,334,1.0
248,341,0.0
249,342,0.0
250,565,0.0
251,566,0.0
252,567,0.0
253,569,1.0
254,571,1.0
255,575,1.0
256,576,0.0
257,577,0.0
258,578,0.0
259,581,0.0
260,582,0.0
261,583,1.0
262,584,1.0
263,585,1.0
264,586,0.0
265,170,1.0
266,173,0.0
267,174,1.0
268,176,1.0
269,177,1.0
270,178,1.0
271,179,1.0
272,180,1.0
273,181,1.0
274,182,1.0
275,348,1.0
276,349,1.0
277,350,1.0
278,351,1.0
279,352,1.0
280,609,0.0
281,610,0.0
282,611,1.0
283,612,0.0
284,614,1.0
285,615,1.0
286,616,1.0
287,617,1.0
288,623,1.0
289,625,1.0
290,626,1.0
291,628,1.0
292,630,0.0
293,631,0.7083333333333333
294,632,1.0
295,633,0.0
296,183,0.5333333333333333
297,184,1.0
298,187,0.0
299,188,1.0
300,189,1.0
301,190,1.0
302,191,1.0
303,196,0.5333333333333333
304,197,1.0
305,198,1.0
306,200,0.0
307,202,1.0
308,203,0.0
309,204,1.0
310,206,0.5333333333333333
311,207,1.0
312,209,1.0
313,210,1.0
314,354,1.0
315,355,1.0
316,356,1.0
317,357,0.5333333333333333
318,358,1.0
319,365,1.0
320,481,0.0
321,589,1.0
322,590,0.5333333333333333
323,592,1.0
324,594,1.0
325,595,1.0
326,597,1.0
327,598,0.0
328,599,0.5333333333333333
329,601,1.0
330,603,0.5333333333333333
331,604,1.0
332,605,1.0
333,606,1.0
