task_id,result_return_code,model
450,1,chatglm-6b
631,1,chatglm-6b
46,1,chatglm-6b
533,1,chatglm-6b
173,1,chatglm-6b
481,1,chatglm-6b
95,1,chatglm-6b
54,1,chatglm-6b
163,1,chatglm-6b
52,1,chatglm-6b
537,1,chatglm-6b
594,1,chatglm-6b
604,1,chatglm-6b
492,1,chatglm-6b
144,1,chatglm-6b
115,1,chatglm-6b
493,1,chatglm-6b
404,1,chatglm-6b
165,1,chatglm-6b
124,1,chatglm-6b
142,1,chatglm-6b
615,1,chatglm-6b
70,1,chatglm-6b
65,1,chatglm-6b
357,1,chatglm-6b
306,0,chatglm-6b
79,1,chatglm-6b
334,1,chatglm-6b
611,1,chatglm-6b
510,1,chatglm-6b
256,1,chatglm-6b
569,1,chatglm-6b
589,1,chatglm-6b
127,1,chatglm-6b
17,1,chatglm-6b
512,1,chatglm-6b
530,1,chatglm-6b
551,1,chatglm-6b
248,1,chatglm-6b
630,1,chatglm-6b
167,1,chatglm-6b
114,1,chatglm-6b
200,1,chatglm-6b
242,1,chatglm-6b
164,1,chatglm-6b
535,1,chatglm-6b
555,1,chatglm-6b
506,1,chatglm-6b
356,1,chatglm-6b
72,1,chatglm-6b
151,1,chatglm-6b
444,1,chatglm-6b
152,1,chatglm-6b
566,1,chatglm-6b
96,1,chatglm-6b
430,1,chatglm-6b
161,1,chatglm-6b
229,1,chatglm-6b
609,1,chatglm-6b
410,1,chatglm-6b
106,1,chatglm-6b
103,1,chatglm-6b
590,1,chatglm-6b
413,1,chatglm-6b
515,1,chatglm-6b
616,1,chatglm-6b
23,1,chatglm-6b
547,1,chatglm-6b
576,1,chatglm-6b
482,1,chatglm-6b
401,1,chatglm-6b
423,1,chatglm-6b
527,1,chatglm-6b
188,1,chatglm-6b
487,1,chatglm-6b
352,1,chatglm-6b
198,1,chatglm-6b
92,1,chatglm-6b
449,1,chatglm-6b
83,1,chatglm-6b
396,1,chatglm-6b
267,1,chatglm-6b
268,1,chatglm-6b
93,1,chatglm-6b
597,1,chatglm-6b
118,1,chatglm-6b
