task_id,result_return_code,model_name
1,0,deepseek-coder-6.7b-instruct
5,0,deepseek-coder-6.7b-instruct
6,1,deepseek-coder-6.7b-instruct
8,0,deepseek-coder-6.7b-instruct
9,0,deepseek-coder-6.7b-instruct
11,0,deepseek-coder-6.7b-instruct
12,0,deepseek-coder-6.7b-instruct
13,1,deepseek-coder-6.7b-instruct
17,1,deepseek-coder-6.7b-instruct
18,1,deepseek-coder-6.7b-instruct
19,1,deepseek-coder-6.7b-instruct
20,1,deepseek-coder-6.7b-instruct
21,1,deepseek-coder-6.7b-instruct
22,1,deepseek-coder-6.7b-instruct
23,1,deepseek-coder-6.7b-instruct
24,1,deepseek-coder-6.7b-instruct
25,1,deepseek-coder-6.7b-instruct
26,0,deepseek-coder-6.7b-instruct
27,0,deepseek-coder-6.7b-instruct
28,1,deepseek-coder-6.7b-instruct
31,1,deepseek-coder-6.7b-instruct
33,0,deepseek-coder-6.7b-instruct
35,1,deepseek-coder-6.7b-instruct
36,0,deepseek-coder-6.7b-instruct
37,1,deepseek-coder-6.7b-instruct
41,0,deepseek-coder-6.7b-instruct
42,1,deepseek-coder-6.7b-instruct
43,1,deepseek-coder-6.7b-instruct
1,0,deepseek-coder-6.7b-instruct
5,0,deepseek-coder-6.7b-instruct
6,1,deepseek-coder-6.7b-instruct
8,1,deepseek-coder-6.7b-instruct
9,0,deepseek-coder-6.7b-instruct
11,0,deepseek-coder-6.7b-instruct
12,0,deepseek-coder-6.7b-instruct
13,1,deepseek-coder-6.7b-instruct
17,1,deepseek-coder-6.7b-instruct
18,0,deepseek-coder-6.7b-instruct
19,1,deepseek-coder-6.7b-instruct
20,1,deepseek-coder-6.7b-instruct
21,1,deepseek-coder-6.7b-instruct
22,1,deepseek-coder-6.7b-instruct
23,1,deepseek-coder-6.7b-instruct
24,1,deepseek-coder-6.7b-instruct
25,1,deepseek-coder-6.7b-instruct
26,0,deepseek-coder-6.7b-instruct
27,0,deepseek-coder-6.7b-instruct
28,1,deepseek-coder-6.7b-instruct
31,1,deepseek-coder-6.7b-instruct
33,0,deepseek-coder-6.7b-instruct
35,1,deepseek-coder-6.7b-instruct
36,0,deepseek-coder-6.7b-instruct
37,1,deepseek-coder-6.7b-instruct
41,0,deepseek-coder-6.7b-instruct
42,1,deepseek-coder-6.7b-instruct
43,1,deepseek-coder-6.7b-instruct
44,1,deepseek-coder-6.7b-instruct
45,1,deepseek-coder-6.7b-instruct
46,1,deepseek-coder-6.7b-instruct
47,1,deepseek-coder-6.7b-instruct
51,1,deepseek-coder-6.7b-instruct
52,0,deepseek-coder-6.7b-instruct
53,0,deepseek-coder-6.7b-instruct
54,1,deepseek-coder-6.7b-instruct
55,1,deepseek-coder-6.7b-instruct
56,0,deepseek-coder-6.7b-instruct
57,1,deepseek-coder-6.7b-instruct
58,0,deepseek-coder-6.7b-instruct
59,1,deepseek-coder-6.7b-instruct
60,1,deepseek-coder-6.7b-instruct
62,0,deepseek-coder-6.7b-instruct
63,1,deepseek-coder-6.7b-instruct
64,1,deepseek-coder-6.7b-instruct
65,0,deepseek-coder-6.7b-instruct
67,1,deepseek-coder-6.7b-instruct
68,0,deepseek-coder-6.7b-instruct
70,1,deepseek-coder-6.7b-instruct
71,1,deepseek-coder-6.7b-instruct
72,0,deepseek-coder-6.7b-instruct
73,0,deepseek-coder-6.7b-instruct
74,1,deepseek-coder-6.7b-instruct
75,1,deepseek-coder-6.7b-instruct
76,0,deepseek-coder-6.7b-instruct
77,1,deepseek-coder-6.7b-instruct
78,0,deepseek-coder-6.7b-instruct
79,1,deepseek-coder-6.7b-instruct
80,1,deepseek-coder-6.7b-instruct
81,0,deepseek-coder-6.7b-instruct
82,1,deepseek-coder-6.7b-instruct
83,0,deepseek-coder-6.7b-instruct
84,1,deepseek-coder-6.7b-instruct
85,1,deepseek-coder-6.7b-instruct
86,1,deepseek-coder-6.7b-instruct
213,0,deepseek-coder-6.7b-instruct
214,1,deepseek-coder-6.7b-instruct
215,0,deepseek-coder-6.7b-instruct
216,1,deepseek-coder-6.7b-instruct
219,0,deepseek-coder-6.7b-instruct
220,0,deepseek-coder-6.7b-instruct
221,1,deepseek-coder-6.7b-instruct
224,0,deepseek-coder-6.7b-instruct
226,0,deepseek-coder-6.7b-instruct
227,1,deepseek-coder-6.7b-instruct
229,1,deepseek-coder-6.7b-instruct
230,0,deepseek-coder-6.7b-instruct
231,0,deepseek-coder-6.7b-instruct
232,1,deepseek-coder-6.7b-instruct
233,0,deepseek-coder-6.7b-instruct
234,0,deepseek-coder-6.7b-instruct
235,0,deepseek-coder-6.7b-instruct
240,0,deepseek-coder-6.7b-instruct
241,1,deepseek-coder-6.7b-instruct
242,1,deepseek-coder-6.7b-instruct
244,1,deepseek-coder-6.7b-instruct
248,0,deepseek-coder-6.7b-instruct
249,1,deepseek-coder-6.7b-instruct
