,task_id,result_return_code,model
0,..\envs\python\qa,1,gpt-4
1,..\envs\python\qa,1,gpt-4
2,..\envs\python\qa,1,gpt-4
3,..\envs\python\qa,0,gpt-4
4,..\envs\python\qa,0,gpt-4
5,..\envs\python\qa,1,gpt-4
6,..\envs\python\qa,1,gpt-4
7,..\envs\python\qa,0,gpt-4
8,..\envs\python\qa,1,gpt-4
9,..\envs\python\qa,1,gpt-4
10,..\envs\python\qa,1,gpt-4
11,..\envs\python\qa,0,gpt-4
12,..\envs\python\qa,0,gpt-4
13,..\envs\python\qa,1,gpt-4
14,..\envs\python\qa,0,gpt-4
15,..\envs\python\qa,1,gpt-4
16,..\envs\python\qa,1,gpt-4
17,..\envs\python\qa,0,gpt-4
18,..\envs\python\qa,1,gpt-4
19,..\envs\python\qa,0,gpt-4
20,..\envs\python\qa,1,gpt-4
21,..\envs\python\qa,1,gpt-4
22,..\envs\python\qa,0,gpt-4
23,..\envs\python\qa,0,gpt-4
24,..\envs\python\qa,1,gpt-4
25,..\envs\python\qa,1,gpt-4
26,..\envs\python\qa,1,gpt-4
27,..\envs\python\qa,0,gpt-4
28,..\envs\python\qa,0,gpt-4
29,..\envs\python\qa,1,gpt-4
30,..\envs\python\qa,1,gpt-4
31,..\envs\python\qa,1,gpt-4
32,..\envs\python\qa,1,gpt-4
33,..\envs\python\qa,0,gpt-4
34,..\envs\python\qa,0,gpt-4
35,..\envs\python\qa,1,gpt-4
36,..\envs\python\qa,1,gpt-4
37,..\envs\python\qa,0,gpt-4
38,..\envs\python\qa,1,gpt-4
39,..\envs\python\qa,0,gpt-4
40,..\envs\python\qa,0,gpt-4
41,..\envs\python\qa,1,gpt-4
42,..\envs\python\qa,1,gpt-4
43,..\envs\python\qa,0,gpt-4
44,..\envs\python\qa,0,gpt-4
45,..\envs\python\qa,0,gpt-4
46,..\envs\python\qa,1,gpt-4
47,..\envs\python\qa,1,gpt-4
48,..\envs\python\qa,0,gpt-4
49,..\envs\python\qa,0,gpt-4
50,..\envs\python\qa,1,gpt-4
51,..\envs\python\qa,0,gpt-4
52,..\envs\python\qa,0,gpt-4
53,..\envs\python\qa,1,gpt-4
54,..\envs\python\qa,0,gpt-4
55,..\envs\python\qa,1,gpt-4
56,..\envs\python\qa,0,gpt-4
57,..\envs\python\qa,1,gpt-4
58,..\envs\python\qa,1,gpt-4
59,..\envs\python\qa,1,gpt-4
60,..\envs\python\qa,0,gpt-4
61,..\envs\python\qa,1,gpt-4
62,..\envs\python\qa,1,gpt-4
63,..\envs\python\qa,1,gpt-4
64,..\envs\python\qa,0,gpt-4
65,..\envs\python\qa,0,gpt-4
66,..\envs\python\qa,1,gpt-4
67,..\envs\python\qa,1,gpt-4
68,..\envs\python\qa,1,gpt-4
69,..\envs\python\qa,0,gpt-4
70,..\envs\python\qa,0,gpt-4
71,..\envs\python\qa,0,gpt-4
72,..\envs\python\qa,1,gpt-4
73,..\envs\python\qa,0,gpt-4
74,..\envs\python\qa,1,gpt-4
75,..\envs\python\qa,1,gpt-4
76,..\envs\python\qa,1,gpt-4
77,..\envs\python\qa,1,gpt-4
78,..\envs\python\qa,1,gpt-4
79,..\envs\python\qa,0,gpt-4
80,..\envs\python\qa,0,gpt-4
81,..\envs\python\qa,1,gpt-4
82,..\envs\python\qa,0,gpt-4
83,..\envs\python\qa,1,gpt-4
84,..\envs\python\qa,1,gpt-4
85,..\envs\python\qa,0,gpt-4
86,..\envs\python\qa,0,gpt-4
87,..\envs\python\qa,0,gpt-4
88,..\envs\python\qa,1,gpt-4
89,..\envs\python\qa,0,gpt-4
90,..\envs\python\qa,1,gpt-4
91,..\envs\python\qa,1,gpt-4
92,..\envs\python\qa,1,gpt-4
93,..\envs\python\qa,0,gpt-4
94,..\envs\python\qa,0,gpt-4
95,..\envs\python\qa,1,gpt-4
96,..\envs\python\qa,0,gpt-4
97,..\envs\python\qa,1,gpt-4
98,..\envs\python\qa,0,gpt-4
99,..\envs\python\qa,0,gpt-4
100,..\envs\python\qa,0,gpt-4
101,..\envs\python\qa,0,gpt-4
102,..\envs\python\qa,1,gpt-4
103,..\envs\python\qa,0,gpt-4
104,..\envs\python\qa,0,gpt-4
105,..\envs\python\qa,0,gpt-4
106,..\envs\python\qa,1,gpt-4
107,..\envs\python\qa,1,gpt-4
108,..\envs\python\qa,0,gpt-4
109,..\envs\python\qa,1,gpt-4
110,..\envs\python\qa,0,gpt-4
111,..\envs\python\qa,0,gpt-4
112,..\envs\python\qa,0,gpt-4
113,..\envs\python\qa,1,gpt-4
114,..\envs\python\qa,1,gpt-4
115,..\envs\python\qa,0,gpt-4
116,..\envs\python\qa,0,gpt-4
117,..\envs\python\qa,1,gpt-4
118,..\envs\python\qa,1,gpt-4
119,..\envs\python\qa,1,gpt-4
120,..\envs\python\qa,0,gpt-4
121,..\envs\python\qa,0,gpt-4
122,..\envs\python\qa,1,gpt-4
123,..\envs\python\qa,1,gpt-4
124,..\envs\python\qa,0,gpt-4
125,..\envs\python\qa,0,gpt-4
126,..\envs\python\qa,1,gpt-4
127,..\envs\python\qa,0,gpt-4
128,..\envs\python\qa,0,gpt-4
129,..\envs\python\qa,1,gpt-4
130,..\envs\python\qa,0,gpt-4
131,..\envs\python\qa,0,gpt-4
132,..\envs\python\qa,1,gpt-4
133,..\envs\python\qa,1,gpt-4
134,..\envs\python\qa,0,gpt-4
135,..\envs\python\qa,0,gpt-4
136,..\envs\python\qa,0,gpt-4
137,..\envs\python\qa,0,gpt-4
138,..\envs\python\qa,0,gpt-4
139,..\envs\python\qa,0,gpt-4
140,..\envs\python\qa,0,gpt-4
141,..\envs\python\qa,0,gpt-4
