,task_id,result_return_code,model
0,100,1,Mistral-7B-Instruct-v0.3
1,101,1,Mistral-7B-Instruct-v0.3
2,103,1,Mistral-7B-Instruct-v0.3
3,104,1,Mistral-7B-Instruct-v0.3
4,106,1,Mistral-7B-Instruct-v0.3
5,107,0,Mistral-7B-Instruct-v0.3
6,108,1,Mistral-7B-Instruct-v0.3
7,109,0,Mistral-7B-Instruct-v0.3
8,110,0,Mistral-7B-Instruct-v0.3
9,111,1,Mistral-7B-Instruct-v0.3
10,112,1,Mistral-7B-Instruct-v0.3
11,113,1,Mistral-7B-Instruct-v0.3
12,114,1,Mistral-7B-Instruct-v0.3
13,115,0,Mistral-7B-Instruct-v0.3
14,116,1,Mistral-7B-Instruct-v0.3
15,117,1,Mistral-7B-Instruct-v0.3
16,118,1,Mistral-7B-Instruct-v0.3
17,119,1,Mistral-7B-Instruct-v0.3
18,11,0,Mistral-7B-Instruct-v0.3
19,120,1,Mistral-7B-Instruct-v0.3
20,121,0,Mistral-7B-Instruct-v0.3
21,122,1,Mistral-7B-Instruct-v0.3
22,123,1,Mistral-7B-Instruct-v0.3
23,124,0,Mistral-7B-Instruct-v0.3
24,125,1,Mistral-7B-Instruct-v0.3
25,127,1,Mistral-7B-Instruct-v0.3
26,129,0,Mistral-7B-Instruct-v0.3
27,12,0,Mistral-7B-Instruct-v0.3
28,130,1,Mistral-7B-Instruct-v0.3
29,131,1,Mistral-7B-Instruct-v0.3
30,132,1,Mistral-7B-Instruct-v0.3
31,133,1,Mistral-7B-Instruct-v0.3
32,134,1,Mistral-7B-Instruct-v0.3
33,135,0,Mistral-7B-Instruct-v0.3
34,137,0,Mistral-7B-Instruct-v0.3
35,138,0,Mistral-7B-Instruct-v0.3
36,139,1,Mistral-7B-Instruct-v0.3
37,13,1,Mistral-7B-Instruct-v0.3
38,140,1,Mistral-7B-Instruct-v0.3
39,141,1,Mistral-7B-Instruct-v0.3
40,142,1,Mistral-7B-Instruct-v0.3
41,143,1,Mistral-7B-Instruct-v0.3
42,144,0,Mistral-7B-Instruct-v0.3
43,145,1,Mistral-7B-Instruct-v0.3
44,146,1,Mistral-7B-Instruct-v0.3
45,147,0,Mistral-7B-Instruct-v0.3
46,148,1,Mistral-7B-Instruct-v0.3
47,149,1,Mistral-7B-Instruct-v0.3
48,150,1,Mistral-7B-Instruct-v0.3
49,151,1,Mistral-7B-Instruct-v0.3
50,152,1,Mistral-7B-Instruct-v0.3
