,task_id,result_return_code,model
0,100,1,chatglm-6b
1,101,1,chatglm-6b
2,103,1,chatglm-6b
3,107,1,chatglm-6b
4,108,1,chatglm-6b
5,109,1,chatglm-6b
6,110,1,chatglm-6b
7,112,1,chatglm-6b
8,114,1,chatglm-6b
9,115,1,chatglm-6b
10,116,1,chatglm-6b
11,117,1,chatglm-6b
12,118,1,chatglm-6b
13,11,1,chatglm-6b
14,120,1,chatglm-6b
15,121,1,chatglm-6b
16,122,1,chatglm-6b
17,123,1,chatglm-6b
18,124,1,chatglm-6b
19,125,1,chatglm-6b
20,127,1,chatglm-6b
21,129,1,chatglm-6b
22,12,1,chatglm-6b
23,130,1,chatglm-6b
24,133,1,chatglm-6b
25,134,1,chatglm-6b
26,135,1,chatglm-6b
27,138,1,chatglm-6b
28,139,1,chatglm-6b
29,13,1,chatglm-6b
30,140,1,chatglm-6b
31,142,1,chatglm-6b
32,143,1,chatglm-6b
33,144,1,chatglm-6b
34,145,1,chatglm-6b
35,146,1,chatglm-6b
36,150,1,chatglm-6b
37,151,1,chatglm-6b
38,153,1,chatglm-6b
39,154,1,chatglm-6b
40,155,1,chatglm-6b
41,156,1,chatglm-6b
42,157,1,chatglm-6b
43,158,1,chatglm-6b
44,159,1,chatglm-6b
45,160,1,chatglm-6b
46,161,1,chatglm-6b
47,162,1,chatglm-6b
48,165,1,chatglm-6b
49,166,1,chatglm-6b
50,167,0,chatglm-6b
51,168,1,chatglm-6b
52,170,1,chatglm-6b
53,173,1,chatglm-6b
54,174,1,chatglm-6b
55,176,1,chatglm-6b
56,177,1,chatglm-6b
57,178,1,chatglm-6b
58,179,1,chatglm-6b
59,180,1,chatglm-6b
60,181,1,chatglm-6b
61,182,1,chatglm-6b
62,183,1,chatglm-6b
63,184,1,chatglm-6b
64,187,1,chatglm-6b
65,188,1,chatglm-6b
66,189,1,chatglm-6b
67,18,1,chatglm-6b
68,190,1,chatglm-6b
69,191,1,chatglm-6b
70,192,0,chatglm-6b
71,193,1,chatglm-6b
72,195,1,chatglm-6b
73,196,1,chatglm-6b
74,197,1,chatglm-6b
75,198,1,chatglm-6b
76,19,1,chatglm-6b
77,1,1,chatglm-6b
78,200,1,chatglm-6b
79,202,1,chatglm-6b
80,203,1,chatglm-6b
81,204,0,chatglm-6b
82,205,0,chatglm-6b
83,206,1,chatglm-6b
84,207,1,chatglm-6b
85,209,1,chatglm-6b
86,20,1,chatglm-6b
87,210,0,chatglm-6b
88,213,1,chatglm-6b
89,214,1,chatglm-6b
90,215,1,chatglm-6b
91,216,1,chatglm-6b
92,219,1,chatglm-6b
93,21,1,chatglm-6b
94,220,1,chatglm-6b
95,221,1,chatglm-6b
96,224,1,chatglm-6b
97,226,1,chatglm-6b
98,227,1,chatglm-6b
99,229,1,chatglm-6b
100,230,1,chatglm-6b
101,231,1,chatglm-6b
102,232,1,chatglm-6b
103,233,1,chatglm-6b
104,234,1,chatglm-6b
105,235,1,chatglm-6b
106,23,1,chatglm-6b
107,240,1,chatglm-6b
108,241,1,chatglm-6b
109,242,1,chatglm-6b
110,244,1,chatglm-6b
111,248,0,chatglm-6b
112,249,1,chatglm-6b
113,24,1,chatglm-6b
114,250,1,chatglm-6b
115,252,1,chatglm-6b
116,253,1,chatglm-6b
117,255,1,chatglm-6b
118,256,1,chatglm-6b
119,258,1,chatglm-6b
120,259,1,chatglm-6b
121,25,1,chatglm-6b
122,260,1,chatglm-6b
123,262,1,chatglm-6b
124,263,1,chatglm-6b
125,264,1,chatglm-6b
126,266,1,chatglm-6b
127,267,1,chatglm-6b
128,268,1,chatglm-6b
129,269,1,chatglm-6b
130,26,1,chatglm-6b
131,27,1,chatglm-6b
132,281,1,chatglm-6b
133,282,1,chatglm-6b
134,286,1,chatglm-6b
135,28,1,chatglm-6b
136,290,1,chatglm-6b
137,291,1,chatglm-6b
138,292,1,chatglm-6b
139,293,1,chatglm-6b
140,298,1,chatglm-6b
141,299,1,chatglm-6b
142,305,1,chatglm-6b
143,306,1,chatglm-6b
144,308,1,chatglm-6b
145,313,1,chatglm-6b
146,315,1,chatglm-6b
147,317,1,chatglm-6b
148,318,0,chatglm-6b
149,319,1,chatglm-6b
150,31,1,chatglm-6b
151,320,0,chatglm-6b
152,322,0,chatglm-6b
153,323,1,chatglm-6b
154,326,1,chatglm-6b
155,331,1,chatglm-6b
156,334,1,chatglm-6b
157,33,1,chatglm-6b
158,341,1,chatglm-6b
159,342,1,chatglm-6b
160,348,1,chatglm-6b
161,349,1,chatglm-6b
162,350,1,chatglm-6b
163,352,1,chatglm-6b
164,354,1,chatglm-6b
165,355,1,chatglm-6b
166,356,0,chatglm-6b
167,357,1,chatglm-6b
168,358,1,chatglm-6b
169,359,1,chatglm-6b
170,35,1,chatglm-6b
171,360,1,chatglm-6b
172,361,1,chatglm-6b
173,365,1,chatglm-6b
174,366,1,chatglm-6b
175,369,1,chatglm-6b
176,36,1,chatglm-6b
177,370,1,chatglm-6b
178,37,1,chatglm-6b
179,380,1,chatglm-6b
180,381,1,chatglm-6b
181,386,1,chatglm-6b
182,390,1,chatglm-6b
183,392,1,chatglm-6b
184,395,1,chatglm-6b
185,396,1,chatglm-6b
186,398,1,chatglm-6b
187,401,1,chatglm-6b
188,404,1,chatglm-6b
189,405,1,chatglm-6b
190,406,1,chatglm-6b
191,410,1,chatglm-6b
192,412,1,chatglm-6b
193,413,1,chatglm-6b
194,414,1,chatglm-6b
195,41,1,chatglm-6b
196,420,1,chatglm-6b
197,423,1,chatglm-6b
198,424,1,chatglm-6b
199,427,1,chatglm-6b
200,428,1,chatglm-6b
201,42,1,chatglm-6b
202,430,1,chatglm-6b
203,431,1,chatglm-6b
204,433,1,chatglm-6b
205,434,1,chatglm-6b
206,438,1,chatglm-6b
207,43,1,chatglm-6b
208,442,1,chatglm-6b
209,443,1,chatglm-6b
210,444,1,chatglm-6b
211,445,1,chatglm-6b
212,447,1,chatglm-6b
213,44,1,chatglm-6b
214,451,1,chatglm-6b
215,45,1,chatglm-6b
216,460,1,chatglm-6b
217,461,1,chatglm-6b
218,462,1,chatglm-6b
219,463,1,chatglm-6b
220,465,1,chatglm-6b
221,468,1,chatglm-6b
222,469,1,chatglm-6b
223,46,1,chatglm-6b
224,470,1,chatglm-6b
225,471,1,chatglm-6b
226,474,1,chatglm-6b
227,475,1,chatglm-6b
228,476,1,chatglm-6b
229,477,1,chatglm-6b
230,478,1,chatglm-6b
231,47,1,chatglm-6b
232,481,1,chatglm-6b
233,482,1,chatglm-6b
234,483,1,chatglm-6b
235,485,1,chatglm-6b
236,487,1,chatglm-6b
237,488,1,chatglm-6b
238,490,1,chatglm-6b
239,491,1,chatglm-6b
240,492,1,chatglm-6b
241,493,1,chatglm-6b
242,494,1,chatglm-6b
243,495,1,chatglm-6b
244,496,1,chatglm-6b
245,498,1,chatglm-6b
246,499,1,chatglm-6b
247,500,1,chatglm-6b
248,501,1,chatglm-6b
249,505,1,chatglm-6b
250,506,1,chatglm-6b
251,507,1,chatglm-6b
252,509,1,chatglm-6b
253,510,1,chatglm-6b
254,511,1,chatglm-6b
255,512,1,chatglm-6b
256,513,1,chatglm-6b
257,514,1,chatglm-6b
258,515,1,chatglm-6b
259,516,1,chatglm-6b
260,517,1,chatglm-6b
261,518,1,chatglm-6b
262,519,1,chatglm-6b
263,51,1,chatglm-6b
264,520,1,chatglm-6b
265,521,1,chatglm-6b
266,522,1,chatglm-6b
267,523,1,chatglm-6b
268,524,0,chatglm-6b
269,525,1,chatglm-6b
270,526,1,chatglm-6b
271,527,1,chatglm-6b
272,528,1,chatglm-6b
273,529,1,chatglm-6b
274,52,1,chatglm-6b
275,530,1,chatglm-6b
