task_id,result_return_code,model
1,0,gpt-4
5,0,gpt-4
6,0,gpt-4
8,0,gpt-4
9,0,gpt-4
11,0,gpt-4
12,0,gpt-4
13,0,gpt-4
17,0,gpt-4
18,1,gpt-4
19,0,gpt-4
20,0,gpt-4
21,0,gpt-4
22,0,gpt-4
23,1,gpt-4
24,1,gpt-4
26,0,gpt-4
27,1,gpt-4
28,1,gpt-4
31,0,gpt-4
35,1,gpt-4
36,0,gpt-4
41,1,gpt-4
42,1,gpt-4
43,1,gpt-4
44,0,gpt-4
45,0,gpt-4
46,0,gpt-4
47,0,gpt-4
52,0,gpt-4
54,0,gpt-4
55,0,gpt-4
56,0,gpt-4
58,1,gpt-4
59,1,gpt-4
60,0,gpt-4
62,1,gpt-4
64,1,gpt-4
65,0,gpt-4
67,1,gpt-4
68,0,gpt-4
70,1,gpt-4
71,1,gpt-4
73,1,gpt-4
75,0,gpt-4
76,0,gpt-4
77,0,gpt-4
78,1,gpt-4
79,0,gpt-4
80,0,gpt-4
81,0,gpt-4
83,0,gpt-4
84,0,gpt-4
86,0,gpt-4
214,1,gpt-4
215,0,gpt-4
219,1,gpt-4
220,1,gpt-4
224,0,gpt-4
226,1,gpt-4
229,0,gpt-4
230,0,gpt-4
231,1,gpt-4
232,1,gpt-4
233,1,gpt-4
234,1,gpt-4
235,1,gpt-4
241,1,gpt-4
242,0,gpt-4
244,0,gpt-4
248,0,gpt-4
250,0,gpt-4
256,1,gpt-4
259,0,gpt-4
260,0,gpt-4
262,0,gpt-4
263,0,gpt-4
264,1,gpt-4
267,1,gpt-4
268,1,gpt-4
269,0,gpt-4
281,1,gpt-4
282,0,gpt-4
286,1,gpt-4
290,1,gpt-4
291,1,gpt-4
369,1,gpt-4
370,1,gpt-4
380,0,gpt-4
381,0,gpt-4
386,0,gpt-4
390,0,gpt-4
392,1,gpt-4
395,0,gpt-4
396,0,gpt-4
401,1,gpt-4
404,1,gpt-4
405,0,gpt-4
406,0,gpt-4
410,1,gpt-4
413,1,gpt-4
420,1,gpt-4
423,0,gpt-4
424,0,gpt-4
427,0,gpt-4
430,0,gpt-4
431,0,gpt-4
433,0,gpt-4
444,0,gpt-4
445,0,gpt-4
451,0,gpt-4
460,0,gpt-4
462,0,gpt-4
465,0,gpt-4
468,0,gpt-4
469,0,gpt-4
470,0,gpt-4
471,0,gpt-4
474,1,gpt-4
475,1,gpt-4
476,1,gpt-4
482,0,gpt-4
483,1,gpt-4
485,0,gpt-4
486,0,gpt-4
487,1,gpt-4
488,0,gpt-4
490,1,gpt-4
492,0,gpt-4
493,0,gpt-4
494,0,gpt-4
495,1,gpt-4
496,1,gpt-4
498,0,gpt-4
499,0,gpt-4
500,0,gpt-4
501,0,gpt-4
505,1,gpt-4
506,0,gpt-4
507,1,gpt-4
509,1,gpt-4
510,1,gpt-4
511,1,gpt-4
512,1,gpt-4
513,0,gpt-4
514,0,gpt-4
515,0,gpt-4
516,1,gpt-4
517,0,gpt-4
518,0,gpt-4
519,0,gpt-4
520,1,gpt-4
521,0,gpt-4
522,1,gpt-4
523,0,gpt-4
524,1,gpt-4
525,1,gpt-4
526,0,gpt-4
527,0,gpt-4
546,1,gpt-4
547,0,gpt-4
551,0,gpt-4
552,0,gpt-4
555,0,gpt-4
557,0,gpt-4
558,1,gpt-4
87,0,gpt-4
88,1,gpt-4
89,1,gpt-4
92,0,gpt-4
93,0,gpt-4
95,0,gpt-4
96,1,gpt-4
97,0,gpt-4
99,0,gpt-4
100,1,gpt-4
101,0,gpt-4
103,0,gpt-4
106,0,gpt-4
107,0,gpt-4
108,1,gpt-4
110,0,gpt-4
112,1,gpt-4
116,1,gpt-4
117,0,gpt-4
118,1,gpt-4
121,0,gpt-4
122,1,gpt-4
123,0,gpt-4
124,0,gpt-4
125,1,gpt-4
129,0,gpt-4
130,1,gpt-4
133,1,gpt-4
134,0,gpt-4
135,0,gpt-4
138,0,gpt-4
139,1,gpt-4
292,0,gpt-4
298,0,gpt-4
299,0,gpt-4
315,1,gpt-4
317,0,gpt-4
318,1,gpt-4
319,0,gpt-4
320,1,gpt-4
322,1,gpt-4
323,0,gpt-4
326,1,gpt-4
447,0,gpt-4
450,1,gpt-4
528,0,gpt-4
529,1,gpt-4
530,0,gpt-4
532,1,gpt-4
533,1,gpt-4
534,0,gpt-4
535,1,gpt-4
536,1,gpt-4
537,1,gpt-4
540,1,gpt-4
541,1,gpt-4
542,1,gpt-4
543,1,gpt-4
544,1,gpt-4
545,0,gpt-4
559,1,gpt-4
560,1,gpt-4
140,0,gpt-4
141,0,gpt-4
142,0,gpt-4
143,0,gpt-4
144,1,gpt-4
145,0,gpt-4
146,1,gpt-4
150,0,gpt-4
151,1,gpt-4
153,0,gpt-4
155,1,gpt-4
156,0,gpt-4
157,1,gpt-4
158,0,gpt-4
159,0,gpt-4
160,1,gpt-4
161,0,gpt-4
162,0,gpt-4
165,0,gpt-4
166,0,gpt-4
167,1,gpt-4
168,0,gpt-4
169,1,gpt-4
331,1,gpt-4
334,0,gpt-4
341,1,gpt-4
342,1,gpt-4
565,0,gpt-4
566,1,gpt-4
567,1,gpt-4
569,0,gpt-4
571,0,gpt-4
575,0,gpt-4
576,1,gpt-4
577,1,gpt-4
578,1,gpt-4
581,1,gpt-4
582,1,gpt-4
583,0,gpt-4
584,0,gpt-4
585,0,gpt-4
586,0,gpt-4
170,0,gpt-4
173,0,gpt-4
174,1,gpt-4
176,0,gpt-4
177,1,gpt-4
178,0,gpt-4
179,0,gpt-4
180,1,gpt-4
181,0,gpt-4
182,0,gpt-4
348,0,gpt-4
349,0,gpt-4
350,0,gpt-4
351,0,gpt-4
352,0,gpt-4
609,0,gpt-4
610,0,gpt-4
611,1,gpt-4
612,0,gpt-4
614,1,gpt-4
615,1,gpt-4
616,1,gpt-4
617,1,gpt-4
623,1,gpt-4
625,0,gpt-4
626,0,gpt-4
628,0,gpt-4
630,0,gpt-4
631,0,gpt-4
632,0,gpt-4
633,1,gpt-4
183,1,gpt-4
184,0,gpt-4
187,1,gpt-4
188,0,gpt-4
189,0,gpt-4
190,0,gpt-4
191,0,gpt-4
196,1,gpt-4
197,0,gpt-4
198,0,gpt-4
200,1,gpt-4
202,1,gpt-4
203,1,gpt-4
204,1,gpt-4
206,1,gpt-4
207,0,gpt-4
209,1,gpt-4
210,0,gpt-4
354,0,gpt-4
355,0,gpt-4
356,0,gpt-4
357,0,gpt-4
358,0,gpt-4
365,1,gpt-4
481,0,gpt-4
589,0,gpt-4
590,0,gpt-4
592,0,gpt-4
594,0,gpt-4
595,0,gpt-4
597,0,gpt-4
598,0,gpt-4
599,0,gpt-4
601,0,gpt-4
603,0,gpt-4
604,0,gpt-4
605,0,gpt-4
606,0,gpt-4
476,0,gpt-4
482,0,gpt-4
483,0,gpt-4
485,0,gpt-4
