task_id,result_return_code,model
1,0,gpt-4
5,0,gpt-4
6,0,gpt-4
8,0,gpt-4
9,0,gpt-4
11,1,gpt-4
12,0,gpt-4
13,1,gpt-4
17,0,gpt-4
18,0,gpt-4
19,0,gpt-4
20,0,gpt-4
21,1,gpt-4
22,1,gpt-4
23,0,gpt-4
24,1,gpt-4
25,1,gpt-4
26,0,gpt-4
27,0,gpt-4
31,0,gpt-4
35,1,gpt-4
36,0,gpt-4
37,0,gpt-4
41,1,gpt-4
42,1,gpt-4
43,0,gpt-4
44,0,gpt-4
45,0,gpt-4
46,0,gpt-4
47,1,gpt-4
52,0,gpt-4
54,0,gpt-4
55,0,gpt-4
56,0,gpt-4
57,1,gpt-4
58,1,gpt-4
59,1,gpt-4
60,1,gpt-4
62,1,gpt-4
64,1,gpt-4
65,1,gpt-4
67,1,gpt-4
68,0,gpt-4
70,1,gpt-4
71,1,gpt-4
72,1,gpt-4
73,0,gpt-4
74,0,gpt-4
75,0,gpt-4
76,0,gpt-4
77,1,gpt-4
78,1,gpt-4
79,1,gpt-4
80,1,gpt-4
81,1,gpt-4
83,0,gpt-4
84,1,gpt-4
86,0,gpt-4
214,0,gpt-4
215,0,gpt-4
219,0,gpt-4
220,0,gpt-4
224,0,gpt-4
226,0,gpt-4
227,0,gpt-4
229,0,gpt-4
230,0,gpt-4
231,1,gpt-4
232,0,gpt-4
233,1,gpt-4
234,1,gpt-4
235,1,gpt-4
240,1,gpt-4
241,1,gpt-4
242,0,gpt-4
248,1,gpt-4
249,1,gpt-4
250,1,gpt-4
253,1,gpt-4
255,1,gpt-4
256,0,gpt-4
258,1,gpt-4
259,1,gpt-4
260,1,gpt-4
262,1,gpt-4
263,0,gpt-4
264,0,gpt-4
266,0,gpt-4
267,0,gpt-4
268,0,gpt-4
269,0,gpt-4
281,0,gpt-4
282,0,gpt-4
286,0,gpt-4
291,0,gpt-4
366,0,gpt-4
369,0,gpt-4
370,0,gpt-4
380,1,gpt-4
381,1,gpt-4
386,1,gpt-4
390,1,gpt-4
392,0,gpt-4
395,0,gpt-4
396,0,gpt-4
401,1,gpt-4
404,0,gpt-4
405,0,gpt-4
406,1,gpt-4
410,0,gpt-4
413,0,gpt-4
414,1,gpt-4
420,0,gpt-4
423,0,gpt-4
424,0,gpt-4
427,1,gpt-4
430,0,gpt-4
431,0,gpt-4
442,0,gpt-4
443,0,gpt-4
444,0,gpt-4
445,1,gpt-4
451,1,gpt-4
460,0,gpt-4
462,0,gpt-4
465,1,gpt-4
468,1,gpt-4
470,1,gpt-4
471,0,gpt-4
474,0,gpt-4
475,0,gpt-4
476,0,gpt-4
482,0,gpt-4
483,0,gpt-4
485,0,gpt-4
486,0,gpt-4
487,0,gpt-4
488,0,gpt-4
490,0,gpt-4
492,0,gpt-4
493,0,gpt-4
494,0,gpt-4
495,0,gpt-4
496,0,gpt-4
498,0,gpt-4
499,0,gpt-4
500,0,gpt-4
501,0,gpt-4
505,1,gpt-4
506,1,gpt-4
507,1,gpt-4
509,1,gpt-4
510,0,gpt-4
511,0,gpt-4
512,0,gpt-4
513,0,gpt-4
514,0,gpt-4
515,0,gpt-4
516,0,gpt-4
517,0,gpt-4
518,0,gpt-4
519,0,gpt-4
520,0,gpt-4
521,0,gpt-4
522,0,gpt-4
523,0,gpt-4
524,0,gpt-4
525,0,gpt-4
526,0,gpt-4
527,0,gpt-4
552,0,gpt-4
555,0,gpt-4
557,1,gpt-4
558,1,gpt-4
87,0,gpt-4
88,0,gpt-4
89,0,gpt-4
92,0,gpt-4
93,0,gpt-4
95,0,gpt-4
96,1,gpt-4
97,0,gpt-4
99,1,gpt-4
100,0,gpt-4
101,0,gpt-4
103,1,gpt-4
104,0,gpt-4
106,0,gpt-4
107,0,gpt-4
108,0,gpt-4
109,0,gpt-4
110,0,gpt-4
111,0,gpt-4
112,0,gpt-4
113,0,gpt-4
114,0,gpt-4
115,0,gpt-4
116,0,gpt-4
117,0,gpt-4
118,0,gpt-4
119,0,gpt-4
120,0,gpt-4
121,0,gpt-4
122,0,gpt-4
123,0,gpt-4
124,1,gpt-4
125,0,gpt-4
127,0,gpt-4
129,0,gpt-4
130,0,gpt-4
131,0,gpt-4
132,0,gpt-4
133,0,gpt-4
134,1,gpt-4
135,0,gpt-4
137,0,gpt-4
138,0,gpt-4
139,1,gpt-4
292,1,gpt-4
293,0,gpt-4
298,0,gpt-4
299,0,gpt-4
300,0,gpt-4
305,0,gpt-4
306,0,gpt-4
308,0,gpt-4
313,0,gpt-4
315,0,gpt-4
317,1,gpt-4
318,0,gpt-4
319,0,gpt-4
320,1,gpt-4
322,0,gpt-4
323,0,gpt-4
326,1,gpt-4
447,0,gpt-4
449,0,gpt-4
450,0,gpt-4
528,0,gpt-4
529,0,gpt-4
530,0,gpt-4
532,1,gpt-4
533,1,gpt-4
534,0,gpt-4
535,1,gpt-4
536,1,gpt-4
537,0,gpt-4
538,0,gpt-4
540,0,gpt-4
541,1,gpt-4
542,1,gpt-4
543,0,gpt-4
544,0,gpt-4
545,0,gpt-4
559,0,gpt-4
560,0,gpt-4
140,0,gpt-4
141,0,gpt-4
142,1,gpt-4
143,0,gpt-4
144,0,gpt-4
145,0,gpt-4
146,0,gpt-4
147,0,gpt-4
148,1,gpt-4
150,1,gpt-4
151,0,gpt-4
152,0,gpt-4
153,0,gpt-4
154,1,gpt-4
155,0,gpt-4
156,0,gpt-4
157,1,gpt-4
158,0,gpt-4
159,0,gpt-4
160,0,gpt-4
161,0,gpt-4
162,1,gpt-4
163,1,gpt-4
164,1,gpt-4
165,0,gpt-4
166,0,gpt-4
167,0,gpt-4
168,1,gpt-4
169,0,gpt-4
331,1,gpt-4
334,1,gpt-4
341,0,gpt-4
342,0,gpt-4
343,0,gpt-4
565,0,gpt-4
566,0,gpt-4
567,0,gpt-4
569,0,gpt-4
570,1,gpt-4
571,0,gpt-4
572,0,gpt-4
575,0,gpt-4
576,0,gpt-4
577,0,gpt-4
578,0,gpt-4
581,0,gpt-4
582,0,gpt-4
583,0,gpt-4
584,1,gpt-4
585,1,gpt-4
586,0,gpt-4
170,1,gpt-4
173,0,gpt-4
174,0,gpt-4
176,0,gpt-4
177,0,gpt-4
178,0,gpt-4
179,0,gpt-4
180,0,gpt-4
181,0,gpt-4
348,1,gpt-4
349,0,gpt-4
350,0,gpt-4
352,0,gpt-4
609,0,gpt-4
611,0,gpt-4
612,1,gpt-4
614,1,gpt-4
615,0,gpt-4
616,1,gpt-4
625,1,gpt-4
626,1,gpt-4
628,1,gpt-4
630,0,gpt-4
631,1,gpt-4
632,0,gpt-4
633,0,gpt-4
183,0,gpt-4
184,0,gpt-4
187,0,gpt-4
188,1,gpt-4
189,1,gpt-4
190,0,gpt-4
191,1,gpt-4
196,0,gpt-4
197,0,gpt-4
198,0,gpt-4
200,0,gpt-4
202,0,gpt-4
203,0,gpt-4
204,1,gpt-4
205,0,gpt-4
206,1,gpt-4
207,1,gpt-4
209,1,gpt-4
210,0,gpt-4
354,0,gpt-4
355,1,gpt-4
356,1,gpt-4
357,1,gpt-4
358,1,gpt-4
365,0,gpt-4
481,0,gpt-4
589,0,gpt-4
590,0,gpt-4
592,0,gpt-4
594,0,gpt-4
595,0,gpt-4
