task_id,result_return_code,model
124,0,deepseek_coder_api
191,0,deepseek_coder_api
235,0,deepseek_coder_api
354,0,deepseek_coder_api
500,0,deepseek_coder_api
470,1,deepseek_coder_api
200,1,deepseek_coder_api
522,1,deepseek_coder_api
84,0,deepseek_coder_api
331,1,deepseek_coder_api
219,1,deepseek_coder_api
183,0,deepseek_coder_api
572,0,deepseek_coder_api
493,1,deepseek_coder_api
518,0,deepseek_coder_api
424,1,deepseek_coder_api
286,0,deepseek_coder_api
510,0,deepseek_coder_api
31,0,deepseek_coder_api
20,1,deepseek_coder_api
481,1,deepseek_coder_api
154,1,deepseek_coder_api
404,1,deepseek_coder_api
575,0,deepseek_coder_api
79,0,deepseek_coder_api
214,1,deepseek_coder_api
87,0,deepseek_coder_api
47,1,deepseek_coder_api
381,1,deepseek_coder_api
67,1,deepseek_coder_api
537,0,deepseek_coder_api
86,0,deepseek_coder_api
482,1,deepseek_coder_api
68,0,deepseek_coder_api
584,0,deepseek_coder_api
24,1,deepseek_coder_api
292,1,deepseek_coder_api
6,1,deepseek_coder_api
410,1,deepseek_coder_api
89,1,deepseek_coder_api
576,0,deepseek_coder_api
165,0,deepseek_coder_api
298,0,deepseek_coder_api
515,1,deepseek_coder_api
139,1,deepseek_coder_api
103,1,deepseek_coder_api
369,1,deepseek_coder_api
318,0,deepseek_coder_api
406,1,deepseek_coder_api
18,1,deepseek_coder_api
516,1,deepseek_coder_api
521,1,deepseek_coder_api
571,1,deepseek_coder_api
158,0,deepseek_coder_api
121,0,deepseek_coder_api
343,1,deepseek_coder_api
134,1,deepseek_coder_api
196,1,deepseek_coder_api
505,1,deepseek_coder_api
517,1,deepseek_coder_api
499,0,deepseek_coder_api
342,1,deepseek_coder_api
444,1,deepseek_coder_api
118,0,deepseek_coder_api
525,1,deepseek_coder_api
370,0,deepseek_coder_api
560,0,deepseek_coder_api
161,0,deepseek_coder_api
578,0,deepseek_coder_api
96,1,deepseek_coder_api
173,1,deepseek_coder_api
123,0,deepseek_coder_api
474,1,deepseek_coder_api
590,1,deepseek_coder_api
233,1,deepseek_coder_api
206,0,deepseek_coder_api
546,1,deepseek_coder_api
122,1,deepseek_coder_api
77,1,deepseek_coder_api
160,1,deepseek_coder_api
326,0,deepseek_coder_api
190,1,deepseek_coder_api
529,0,deepseek_coder_api
65,0,deepseek_coder_api
170,0,deepseek_coder_api
178,0,deepseek_coder_api
71,1,deepseek_coder_api
180,1,deepseek_coder_api
73,0,deepseek_coder_api
475,0,deepseek_coder_api
114,0,deepseek_coder_api
174,1,deepseek_coder_api
476,0,deepseek_coder_api
597,0,deepseek_coder_api
365,0,deepseek_coder_api
150,1,deepseek_coder_api
78,1,deepseek_coder_api
396,0,deepseek_coder_api
75,1,deepseek_coder_api
583,0,deepseek_coder_api
44,0,deepseek_coder_api
42,0,deepseek_coder_api
442,0,deepseek_coder_api
83,0,deepseek_coder_api
108,0,deepseek_coder_api
380,1,deepseek_coder_api
506,1,deepseek_coder_api
585,0,deepseek_coder_api
582,0,deepseek_coder_api
487,0,deepseek_coder_api
462,0,deepseek_coder_api
45,1,deepseek_coder_api
495,0,deepseek_coder_api
35,1,deepseek_coder_api
530,0,deepseek_coder_api
349,0,deepseek_coder_api
127,1,deepseek_coder_api
229,0,deepseek_coder_api
577,0,deepseek_coder_api
23,0,deepseek_coder_api
494,0,deepseek_coder_api
526,0,deepseek_coder_api
210,0,deepseek_coder_api
405,0,deepseek_coder_api
401,1,deepseek_coder_api
176,1,deepseek_coder_api
142,1,deepseek_coder_api
532,0,deepseek_coder_api
490,1,deepseek_coder_api
43,0,deepseek_coder_api
352,0,deepseek_coder_api
592,0,deepseek_coder_api
207,0,deepseek_coder_api
263,0,deepseek_coder_api
589,0,deepseek_coder_api
132,1,deepseek_coder_api
41,0,deepseek_coder_api
395,0,deepseek_coder_api
19,0,deepseek_coder_api
129,0,deepseek_coder_api
586,1,deepseek_coder_api
131,1,deepseek_coder_api
299,1,deepseek_coder_api
116,1,deepseek_coder_api
616,0,deepseek_coder_api
581,1,deepseek_coder_api
430,0,deepseek_coder_api
253,1,deepseek_coder_api
567,1,deepseek_coder_api
203,1,deepseek_coder_api
153,1,deepseek_coder_api
104,1,deepseek_coder_api
198,0,deepseek_coder_api
256,0,deepseek_coder_api
52,0,deepseek_coder_api
258,1,deepseek_coder_api
58,1,deepseek_coder_api
22,1,deepseek_coder_api
163,1,deepseek_coder_api
202,1,deepseek_coder_api
80,1,deepseek_coder_api
486,1,deepseek_coder_api
323,0,deepseek_coder_api
632,0,deepseek_coder_api
609,0,deepseek_coder_api
143,0,deepseek_coder_api
166,0,deepseek_coder_api
268,0,deepseek_coder_api
144,0,deepseek_coder_api
320,0,deepseek_coder_api
305,0,deepseek_coder_api
107,0,deepseek_coder_api
594,0,deepseek_coder_api
164,0,deepseek_coder_api
533,0,deepseek_coder_api
350,0,deepseek_coder_api
538,0,deepseek_coder_api
138,0,deepseek_coder_api
141,1,deepseek_coder_api
117,0,deepseek_coder_api
205,0,deepseek_coder_api
544,0,deepseek_coder_api
614,0,deepseek_coder_api
542,1,deepseek_coder_api
519,0,deepseek_coder_api
545,0,deepseek_coder_api
599,0,deepseek_coder_api
259,0,deepseek_coder_api
11,0,deepseek_coder_api
242,0,deepseek_coder_api
523,0,deepseek_coder_api
97,0,deepseek_coder_api
595,0,deepseek_coder_api
109,0,deepseek_coder_api
145,0,deepseek_coder_api
317,0,deepseek_coder_api
133,1,deepseek_coder_api
95,0,deepseek_coder_api
615,0,deepseek_coder_api
507,0,deepseek_coder_api
101,0,deepseek_coder_api
159,0,deepseek_coder_api
269,0,deepseek_coder_api
569,0,deepseek_coder_api
357,0,deepseek_coder_api
513,0,deepseek_coder_api
81,0,deepseek_coder_api
293,0,deepseek_coder_api
319,0,deepseek_coder_api
209,0,deepseek_coder_api
447,0,deepseek_coder_api
355,0,deepseek_coder_api
281,0,deepseek_coder_api
543,0,deepseek_coder_api
356,0,deepseek_coder_api
76,0,deepseek_coder_api
187,0,deepseek_coder_api
605,0,deepseek_coder_api
536,0,deepseek_coder_api
501,0,deepseek_coder_api
93,0,deepseek_coder_api
157,0,deepseek_coder_api
147,0,deepseek_coder_api
308,0,deepseek_coder_api
26,0,deepseek_coder_api
1,0,deepseek_coder_api
