,task_id,pass_3
0,1,1
1,5,1
2,6,0
3,8,1
4,9,1
5,11,1
6,12,1
7,13,0
8,17,0
9,18,0
10,19,0
11,20,0
12,21,1
13,22,0
14,23,1
15,24,0
16,25,1
17,26,0
18,27,1
19,28,0
20,31,1
21,33,1
22,35,0
23,36,1
24,37,0
25,41,1
26,42,0
27,43,1
28,44,1
29,45,0
30,46,0
31,47,0
32,51,0
33,52,0
34,53,0
35,54,0
36,55,0
37,56,1
38,57,0
39,58,1
40,59,0
41,60,1
42,62,1
43,63,0
44,64,0
45,65,1
46,67,0
47,68,1
48,70,0
49,71,0
50,72,1
51,73,1
52,74,0
53,75,0
54,76,0
55,77,0
56,78,1
57,79,0
58,80,0
59,81,1
60,82,0
61,83,1
62,84,1
63,85,0
64,86,0
65,213,1
66,214,0
67,215,1
68,216,1
69,219,0
70,220,1
71,221,1
72,224,0
73,226,1
74,227,0
75,229,0
76,230,1
77,231,1
78,232,0
79,233,1
80,234,1
81,235,1
82,240,1
83,241,0
84,242,1
85,244,0
86,248,1
87,249,0
88,250,0
89,252,0
90,253,0
91,255,1
92,256,0
93,258,0
94,259,0
95,260,0
96,262,1
97,263,1
98,264,1
99,266,0
100,267,1
101,268,0
102,269,1
103,281,1
104,282,1
105,286,0
106,290,1
107,291,1
108,366,1
109,369,0
110,370,1
111,380,1
112,381,1
113,386,1
114,390,0
115,392,1
116,395,1
117,396,1
118,398,0
119,401,0
120,404,1
121,405,1
122,406,0
123,410,0
124,412,0
125,413,0
126,414,0
127,420,0
128,423,0
129,424,1
130,427,0
131,428,0
132,430,1
133,431,1
134,433,0
135,438,1
136,442,1
137,443,0
138,444,0
139,445,1
140,451,1
141,460,1
142,461,1
143,462,1
144,463,1
145,465,1
146,468,1
147,469,1
148,470,0
149,471,0
150,474,0
151,475,0
152,476,1
153,477,1
154,478,1
155,482,0
156,483,1
157,485,0
158,486,1
159,487,1
160,488,0
161,490,0
162,491,0
163,492,1
164,493,0
165,494,0
166,495,1
167,496,1
168,498,1
169,499,0
170,500,0
171,501,1
172,505,0
173,506,1
174,507,1
175,509,1
176,510,1
177,511,1
178,512,0
179,513,1
180,514,1
181,515,1
182,516,1
183,517,1
184,518,0
185,519,1
186,520,0
187,521,0
188,522,1
189,523,1
190,524,1
191,525,0
192,526,1
193,527,0
194,546,1
195,547,1
196,548,1
197,550,1
198,551,1
199,552,1
200,555,1
201,557,1
202,558,1
203,87,0
204,88,0
205,89,0
206,92,1
207,93,1
208,95,1
209,96,0
210,97,1
211,99,1
212,100,0
213,101,1
214,103,0
215,106,0
216,107,1
217,108,0
218,109,1
219,112,1
220,114,0
221,115,1
222,116,0
223,117,0
224,118,0
225,120,0
226,121,1
227,122,0
228,123,0
229,124,1
230,125,0
231,127,0
232,129,1
233,130,0
234,133,1
235,134,0
236,135,1
237,138,1
238,139,0
239,292,0
240,293,0
241,298,0
242,299,1
243,305,1
244,306,1
245,308,1
246,313,0
247,315,1
248,317,0
249,318,1
250,319,1
251,320,0
252,322,1
253,323,1
254,326,0
255,447,1
256,450,1
257,528,0
258,529,0
259,530,1
260,532,1
261,533,1
262,534,0
263,535,0
264,536,0
265,537,0
266,540,0
267,541,0
268,542,1
269,543,1
270,544,1
271,545,1
272,559,1
273,560,1
274,140,0
275,142,0
276,143,0
277,144,1
278,145,0
279,146,0
280,149,0
281,150,0
282,151,0
283,153,0
284,154,0
285,155,0
286,156,1
287,157,0
288,158,0
289,159,1
290,160,0
291,161,0
292,162,1
293,165,1
294,166,0
295,167,1
296,168,0
297,169,1
298,331,1
299,334,0
300,341,0
301,342,0
302,565,0
303,566,0
304,567,0
305,569,1
306,571,1
307,575,0
308,576,0
309,577,1
310,578,1
311,581,0
312,582,0
313,583,0
314,584,1
315,585,1
316,586,1
317,170,1
318,173,1
319,174,1
320,175,0
321,176,0
322,177,1
323,178,1
324,179,0
325,180,0
326,181,0
327,182,0
328,348,1
329,349,1
330,350,1
331,351,1
332,352,0
333,609,1
334,611,1
335,612,1
336,614,1
337,615,0
338,616,0
339,617,1
340,625,0
341,626,1
342,628,0
343,630,1
344,631,1
345,632,1
346,633,1
347,183,0
348,184,0
349,187,1
350,188,1
351,189,1
352,190,0
353,191,0
354,192,0
355,193,0
356,195,0
357,196,0
358,197,1
359,198,1
360,200,0
361,202,0
362,203,0
363,204,1
364,205,1
365,206,0
366,207,0
367,208,0
368,209,0
369,210,0
370,354,1
371,355,1
372,356,1
373,357,1
374,358,0
375,359,0
376,360,0
377,361,0
378,365,0
379,481,0
380,589,0
381,590,0
382,592,0
383,594,1
384,595,1
385,597,0
386,598,0
387,599,0
388,601,0
389,603,1
390,604,1
391,605,0
392,606,1
