,task_id,pass_3
0,1,1
1,5,1
2,6,1
3,8,1
4,9,1
5,11,1
6,12,1
7,13,0
8,17,0
9,18,1
10,19,1
11,20,0
12,21,1
13,22,1
14,23,1
15,24,0
16,25,1
17,26,1
18,27,1
19,28,1
20,31,1
21,33,1
22,35,1
23,36,1
24,37,0
25,41,1
26,42,1
27,43,1
28,44,1
29,45,0
30,46,1
31,47,0
32,51,0
33,52,0
34,53,0
35,54,1
36,55,1
37,56,1
38,57,0
39,58,1
40,59,0
41,60,1
42,62,1
43,63,0
44,64,0
45,65,0
46,67,0
47,68,0
48,70,0
49,71,0
50,72,1
51,73,1
52,74,1
53,75,0
54,76,0
55,77,0
56,78,1
57,79,0
58,80,0
59,81,1
60,82,0
61,83,1
62,84,1
63,85,1
64,86,1
65,213,0
66,214,0
67,215,1
68,216,0
69,219,0
70,220,1
71,221,0
72,224,1
73,226,0
74,227,1
75,229,1
76,230,0
77,231,1
78,232,0
79,233,0
80,234,1
81,235,0
82,240,1
83,241,0
84,242,1
85,244,0
86,248,1
87,249,0
88,250,0
89,252,1
90,253,0
91,255,1
92,256,0
93,258,0
94,259,1
95,260,1
96,262,1
97,263,1
98,264,0
99,266,0
100,267,0
101,268,1
102,269,1
103,281,1
104,282,0
105,286,0
106,290,0
107,291,1
108,366,1
109,369,0
110,370,1
111,380,1
112,381,1
113,386,1
114,390,0
115,392,1
116,395,0
117,396,1
118,398,1
119,401,1
120,404,1
121,405,0
122,406,1
123,410,0
124,412,0
125,413,0
126,414,0
127,418,1
128,420,0
129,423,1
130,424,1
131,427,0
132,428,0
133,430,1
134,431,1
135,433,0
136,438,1
137,442,1
138,443,0
139,444,0
140,445,0
141,451,0
142,460,1
143,461,1
144,462,1
145,463,1
146,465,1
147,468,1
148,469,1
149,470,1
150,471,0
151,474,0
152,475,1
153,476,0
154,477,0
155,478,0
156,482,0
157,483,1
158,485,0
159,486,1
160,487,1
161,488,0
162,490,0
163,491,0
164,492,0
165,493,0
166,494,0
167,495,1
168,496,1
169,498,1
170,499,0
171,500,1
172,501,1
173,505,1
174,506,0
175,507,1
176,509,1
177,510,1
178,511,1
179,512,0
180,513,1
181,514,1
182,515,1
183,516,1
184,517,1
185,518,0
186,519,1
187,520,1
188,521,0
189,522,1
190,523,1
191,524,1
192,525,0
193,526,1
194,527,0
195,546,1
196,547,1
197,548,1
198,550,0
199,551,1
200,552,1
201,555,0
202,558,1
203,87,0
204,88,0
205,89,0
206,92,1
207,93,1
208,95,1
209,96,0
210,97,1
211,99,1
212,100,0
213,101,0
214,103,0
215,104,0
216,106,0
217,107,1
218,108,0
219,109,0
220,110,1
221,111,0
222,112,0
223,113,0
224,114,0
225,115,1
226,116,0
227,117,0
228,118,0
229,119,0
230,120,1
231,121,1
232,122,0
233,123,0
234,124,1
235,125,0
236,127,0
237,129,1
238,130,0
239,131,0
240,132,0
241,133,0
242,134,0
243,135,1
244,137,1
245,138,1
246,139,0
247,292,0
248,293,1
249,298,0
250,299,1
251,300,0
252,305,1
253,306,1
254,308,1
255,313,0
256,315,1
257,317,0
258,318,1
259,319,1
260,320,0
261,322,1
262,323,1
263,326,0
264,447,1
265,449,1
266,450,1
267,528,0
268,529,0
269,530,1
270,532,1
271,533,1
272,534,1
273,535,0
274,536,1
275,537,0
276,538,0
277,540,0
278,541,0
279,542,0
280,543,1
281,544,1
282,545,1
283,559,1
284,560,1
285,140,0
286,141,1
287,142,1
288,143,1
289,144,1
290,145,0
291,146,0
292,147,1
293,148,0
294,149,0
295,150,0
296,151,1
297,152,0
298,153,0
299,154,1
300,155,0
301,156,1
302,157,1
303,158,1
304,159,1
305,160,0
306,161,0
307,162,1
308,163,0
309,164,1
310,165,0
311,166,1
312,167,1
313,168,0
314,169,1
315,331,1
316,334,0
317,341,1
318,342,0
319,343,1
320,565,1
321,566,0
322,567,0
323,569,1
324,570,0
325,571,0
326,572,0
327,575,1
328,576,0
329,577,1
330,578,1
331,581,0
332,582,0
333,583,0
334,584,0
335,585,0
336,586,0
337,170,0
338,173,1
339,174,0
340,175,0
341,176,0
342,177,1
343,178,1
344,179,0
345,180,0
346,181,1
347,182,1
348,348,1
349,349,1
350,350,1
351,351,1
352,352,1
353,608,0
354,609,1
355,610,0
356,611,1
357,612,1
358,614,1
359,615,1
360,616,0
361,617,0
362,623,0
363,625,1
364,626,0
365,628,0
366,630,1
367,631,1
368,632,1
369,633,1
370,183,0
371,184,0
372,187,1
373,188,1
374,189,1
375,190,1
376,191,1
377,192,0
378,193,0
379,194,1
380,195,0
381,196,0
382,197,1
383,198,0
384,200,0
385,202,0
386,203,1
387,204,1
388,205,1
389,206,1
390,207,1
391,208,0
392,209,0
393,210,1
394,354,1
395,355,1
396,356,1
397,357,1
398,358,1
399,359,0
400,360,1
401,361,0
402,365,1
403,481,0
404,589,1
405,590,0
406,591,0
407,592,0
408,594,1
409,595,1
410,597,1
411,598,0
412,599,0
413,601,0
414,603,1
415,604,1
416,605,0
417,606,1
