task_id,result_return_code,model
1,0,deepseek-coder-api
5,0,deepseek-coder-api
6,0,deepseek-coder-api
8,0,deepseek-coder-api
9,0,deepseek-coder-api
11,0,deepseek-coder-api
12,0,deepseek-coder-api
13,1,deepseek-coder-api
17,0,deepseek-coder-api
18,0,deepseek-coder-api
19,0,deepseek-coder-api
20,1,deepseek-coder-api
21,0,deepseek-coder-api
22,1,deepseek-coder-api
23,1,deepseek-coder-api
24,0,deepseek-coder-api
25,0,deepseek-coder-api
26,0,deepseek-coder-api
27,0,deepseek-coder-api
28,0,deepseek-coder-api
31,0,deepseek-coder-api
33,0,deepseek-coder-api
35,0,deepseek-coder-api
36,0,deepseek-coder-api
37,0,deepseek-coder-api
41,0,deepseek-coder-api
42,0,deepseek-coder-api
43,0,deepseek-coder-api
44,0,deepseek-coder-api
45,0,deepseek-coder-api
46,0,deepseek-coder-api
47,0,deepseek-coder-api
51,1,deepseek-coder-api
52,0,deepseek-coder-api
53,0,deepseek-coder-api
54,0,deepseek-coder-api
55,1,deepseek-coder-api
56,0,deepseek-coder-api
57,1,deepseek-coder-api
58,0,deepseek-coder-api
59,0,deepseek-coder-api
60,0,deepseek-coder-api
62,0,deepseek-coder-api
63,1,deepseek-coder-api
64,1,deepseek-coder-api
65,0,deepseek-coder-api
66,0,deepseek-coder-api
67,1,deepseek-coder-api
68,0,deepseek-coder-api
70,1,deepseek-coder-api
71,1,deepseek-coder-api
72,0,deepseek-coder-api
73,0,deepseek-coder-api
74,0,deepseek-coder-api
75,0,deepseek-coder-api
76,0,deepseek-coder-api
77,1,deepseek-coder-api
78,0,deepseek-coder-api
79,1,deepseek-coder-api
80,1,deepseek-coder-api
81,0,deepseek-coder-api
82,0,deepseek-coder-api
83,0,deepseek-coder-api
84,1,deepseek-coder-api
85,0,deepseek-coder-api
86,0,deepseek-coder-api
213,0,deepseek-coder-api
214,0,deepseek-coder-api
215,0,deepseek-coder-api
216,0,deepseek-coder-api
219,0,deepseek-coder-api
220,0,deepseek-coder-api
221,1,deepseek-coder-api
224,0,deepseek-coder-api
226,1,deepseek-coder-api
227,0,deepseek-coder-api
229,0,deepseek-coder-api
230,0,deepseek-coder-api
231,0,deepseek-coder-api
232,0,deepseek-coder-api
233,0,deepseek-coder-api
234,0,deepseek-coder-api
235,0,deepseek-coder-api
240,0,deepseek-coder-api
241,0,deepseek-coder-api
242,0,deepseek-coder-api
244,0,deepseek-coder-api
248,0,deepseek-coder-api
249,1,deepseek-coder-api
250,0,deepseek-coder-api
252,0,
253,0,deepseek-coder-api
255,0,deepseek-coder-api
256,0,deepseek-coder-api
258,1,deepseek-coder-api
259,1,deepseek-coder-api
260,0,deepseek-coder-api
262,0,deepseek-coder-api
263,0,deepseek-coder-api
264,1,deepseek-coder-api
266,1,deepseek-coder-api
267,0,deepseek-coder-api
268,0,deepseek-coder-api
269,0,deepseek-coder-api
281,0,deepseek-coder-api
282,0,deepseek-coder-api
286,0,deepseek-coder-api
290,1,deepseek-coder-api
291,0,deepseek-coder-api
366,0,deepseek-coder-api
369,0,deepseek-coder-api
370,1,deepseek-coder-api
380,0,deepseek-coder-api
381,0,deepseek-coder-api
386,0,deepseek-coder-api
390,0,deepseek-coder-api
392,0,deepseek-coder-api
395,0,deepseek-coder-api
