task_id,result_return_code,model
1,0,gpt-4
5,0,gpt-4
6,0,gpt-4
8,0,gpt-4
9,0,gpt-4
11,0,gpt-4
12,0,gpt-4
13,0,gpt-4
17,0,gpt-4
18,1,gpt-4
19,0,gpt-4
20,1,gpt-4
21,0,gpt-4
22,1,gpt-4
23,0,gpt-4
24,1,gpt-4
25,0,gpt-4
26,0,gpt-4
27,1,gpt-4
31,0,gpt-4
35,0,gpt-4
36,0,gpt-4
37,0,gpt-4
41,0,gpt-4
42,0,gpt-4
43,1,gpt-4
44,0,gpt-4
45,1,gpt-4
46,0,gpt-4
47,0,gpt-4
51,1,gpt-4
52,0,gpt-4
54,1,gpt-4
55,0,gpt-4
56,0,gpt-4
57,0,gpt-4
58,1,gpt-4
59,0,gpt-4
60,1,gpt-4
62,0,gpt-4
64,1,gpt-4
65,0,gpt-4
67,1,gpt-4
68,0,gpt-4
71,0,gpt-4
72,1,gpt-4
73,0,gpt-4
74,1,gpt-4
75,0,gpt-4
76,0,gpt-4
77,1,gpt-4
78,0,gpt-4
79,1,gpt-4
80,0,gpt-4
81,0,gpt-4
83,0,gpt-4
86,0,gpt-4
214,1,gpt-4
215,1,gpt-4
219,0,gpt-4
220,1,gpt-4
224,0,gpt-4
226,0,gpt-4
227,0,gpt-4
229,0,gpt-4
230,0,gpt-4
231,0,gpt-4
232,0,gpt-4
233,1,gpt-4
234,1,gpt-4
235,1,gpt-4
240,1,gpt-4
241,1,gpt-4
242,0,gpt-4
248,0,gpt-4
249,0,gpt-4
250,0,gpt-4
253,0,gpt-4
255,0,gpt-4
256,0,gpt-4
258,0,gpt-4
259,0,gpt-4
260,0,gpt-4
262,0,gpt-4
263,0,gpt-4
264,0,gpt-4
266,1,gpt-4
267,1,gpt-4
268,0,gpt-4
269,1,gpt-4
281,0,gpt-4
282,0,gpt-4
286,0,gpt-4
366,0,gpt-4
369,0,gpt-4
370,0,gpt-4
380,0,gpt-4
381,0,gpt-4
386,0,gpt-4
390,0,gpt-4
392,1,gpt-4
395,0,gpt-4
396,0,gpt-4
401,0,gpt-4
404,0,gpt-4
405,0,gpt-4
406,0,gpt-4
410,1,gpt-4
413,0,gpt-4
414,0,gpt-4
420,0,gpt-4
423,1,gpt-4
424,0,gpt-4
427,1,gpt-4
430,0,gpt-4
431,1,gpt-4
433,1,gpt-4
442,0,gpt-4
443,1,gpt-4
444,1,gpt-4
445,1,gpt-4
451,1,gpt-4
460,0,gpt-4
462,0,gpt-4
465,1,gpt-4
468,0,gpt-4
469,0,gpt-4
470,1,gpt-4
471,1,gpt-4
474,1,gpt-4
475,0,gpt-4
476,1,gpt-4
482,1,gpt-4
483,0,gpt-4
485,1,gpt-4
486,1,gpt-4
487,0,gpt-4
488,1,gpt-4
490,0,gpt-4
492,0,gpt-4
493,0,gpt-4
494,0,gpt-4
495,0,gpt-4
496,0,gpt-4
498,1,gpt-4
499,1,gpt-4
500,0,gpt-4
501,0,gpt-4
505,0,gpt-4
506,0,gpt-4
507,0,gpt-4
509,1,gpt-4
510,0,gpt-4
511,0,gpt-4
512,1,gpt-4
513,0,gpt-4
514,1,gpt-4
515,0,gpt-4
516,0,gpt-4
517,0,gpt-4
518,0,gpt-4
519,1,gpt-4
520,1,gpt-4
521,1,gpt-4
522,1,gpt-4
523,0,gpt-4
524,1,gpt-4
525,1,gpt-4
526,0,gpt-4
547,0,gpt-4
551,0,gpt-4
552,1,gpt-4
555,0,gpt-4
557,0,gpt-4
558,0,gpt-4
87,1,gpt-4
88,1,gpt-4
89,0,gpt-4
92,1,gpt-4
93,1,gpt-4
95,0,gpt-4
96,1,gpt-4
97,0,gpt-4
99,0,gpt-4
100,1,gpt-4
101,1,gpt-4
103,1,gpt-4
106,1,gpt-4
107,1,gpt-4
108,0,gpt-4
109,0,gpt-4
110,0,gpt-4
112,1,gpt-4
113,1,gpt-4
114,0,gpt-4
115,0,gpt-4
116,1,gpt-4
117,1,gpt-4
118,1,gpt-4
119,1,gpt-4
120,1,gpt-4
121,0,gpt-4
122,0,gpt-4
123,1,gpt-4
124,0,gpt-4
125,1,gpt-4
127,1,gpt-4
129,1,gpt-4
130,1,gpt-4
133,1,gpt-4
134,1,gpt-4
135,0,gpt-4
137,0,gpt-4
138,0,gpt-4
139,1,gpt-4
292,1,gpt-4
293,1,gpt-4
298,1,gpt-4
299,1,gpt-4
300,1,gpt-4
305,1,gpt-4
306,1,gpt-4
308,0,gpt-4
313,1,gpt-4
315,0,gpt-4
317,0,gpt-4
318,0,gpt-4
319,0,gpt-4
320,0,gpt-4
322,0,gpt-4
323,0,gpt-4
326,1,gpt-4
447,1,gpt-4
449,0,gpt-4
450,0,gpt-4
528,1,gpt-4
529,1,gpt-4
530,0,gpt-4
532,0,gpt-4
533,0,gpt-4
534,0,gpt-4
535,1,gpt-4
536,1,gpt-4
537,1,gpt-4
540,0,gpt-4
541,0,gpt-4
542,0,gpt-4
543,0,gpt-4
544,0,gpt-4
545,0,gpt-4
559,0,gpt-4
560,1,gpt-4
140,1,gpt-4
141,1,gpt-4
142,1,gpt-4
143,0,gpt-4
144,0,gpt-4
145,1,gpt-4
146,0,gpt-4
147,1,gpt-4
148,0,gpt-4
150,1,gpt-4
151,1,gpt-4
152,1,gpt-4
153,1,gpt-4
154,1,gpt-4
155,0,gpt-4
156,0,gpt-4
157,1,gpt-4
158,0,gpt-4
159,0,gpt-4
160,1,gpt-4
161,0,gpt-4
162,1,gpt-4
163,1,gpt-4
164,1,gpt-4
165,1,gpt-4
166,0,gpt-4
167,0,gpt-4
168,1,gpt-4
331,0,gpt-4
334,1,gpt-4
341,1,gpt-4
342,1,gpt-4
343,1,gpt-4
565,0,gpt-4
566,0,gpt-4
567,0,gpt-4
569,0,gpt-4
570,0,gpt-4
571,0,gpt-4
572,0,gpt-4
575,0,gpt-4
576,1,gpt-4
577,0,gpt-4
578,1,gpt-4
581,1,gpt-4
582,0,gpt-4
583,0,gpt-4
584,0,gpt-4
585,0,gpt-4
586,1,gpt-4
170,1,gpt-4
173,1,gpt-4
174,1,gpt-4
176,1,gpt-4
177,0,gpt-4
178,1,gpt-4
179,1,gpt-4
180,0,gpt-4
181,1,gpt-4
348,0,gpt-4
349,0,gpt-4
350,0,gpt-4
352,0,gpt-4
609,0,gpt-4
611,0,gpt-4
612,0,gpt-4
614,0,gpt-4
615,0,gpt-4
616,0,gpt-4
625,0,gpt-4
626,0,gpt-4
628,1,gpt-4
630,0,gpt-4
631,1,gpt-4
632,1,gpt-4
633,1,gpt-4
183,1,gpt-4
184,1,gpt-4
187,0,gpt-4
188,0,gpt-4
189,0,gpt-4
190,0,gpt-4
191,1,gpt-4
196,0,gpt-4
197,1,gpt-4
198,0,gpt-4
200,1,gpt-4
202,0,gpt-4
203,1,gpt-4
204,0,gpt-4
205,0,gpt-4
206,1,gpt-4
207,1,gpt-4
209,1,gpt-4
210,0,gpt-4
354,0,gpt-4
355,0,gpt-4
356,0,gpt-4
357,0,gpt-4
358,0,gpt-4
365,0,gpt-4
481,0,gpt-4
589,0,gpt-4
590,0,gpt-4
592,0,gpt-4
594,0,gpt-4
595,0,gpt-4
597,0,gpt-4
598,0,gpt-4
599,0,gpt-4
601,0,gpt-4
603,0,gpt-4
