task_id,result_return_code,model_name
1,0,gpt-3.5-turbo
5,0,gpt-3.5-turbo
6,0,gpt-3.5-turbo
8,0,gpt-3.5-turbo
9,0,gpt-3.5-turbo
11,1,gpt-3.5-turbo
12,0,gpt-3.5-turbo
13,1,gpt-3.5-turbo
17,0,gpt-3.5-turbo
18,1,gpt-3.5-turbo
19,0,gpt-3.5-turbo
20,1,gpt-3.5-turbo
21,1,gpt-3.5-turbo
22,1,gpt-3.5-turbo
23,0,gpt-3.5-turbo
24,1,gpt-3.5-turbo
25,1,gpt-3.5-turbo
26,0,gpt-3.5-turbo
27,1,gpt-3.5-turbo
31,1,gpt-3.5-turbo
35,1,gpt-3.5-turbo
36,0,gpt-3.5-turbo
37,1,gpt-3.5-turbo
41,1,gpt-3.5-turbo
42,1,gpt-3.5-turbo
43,0,gpt-3.5-turbo
44,0,gpt-3.5-turbo
45,0,gpt-3.5-turbo
46,0,gpt-3.5-turbo
47,0,gpt-3.5-turbo
51,1,gpt-3.5-turbo
52,0,gpt-3.5-turbo
54,1,gpt-3.5-turbo
55,0,gpt-3.5-turbo
56,0,gpt-3.5-turbo
57,1,gpt-3.5-turbo
58,1,gpt-3.5-turbo
59,1,gpt-3.5-turbo
60,1,gpt-3.5-turbo
62,1,gpt-3.5-turbo
64,1,gpt-3.5-turbo
65,0,gpt-3.5-turbo
67,1,gpt-3.5-turbo
68,1,gpt-3.5-turbo
71,1,gpt-3.5-turbo
72,1,gpt-3.5-turbo
73,0,gpt-3.5-turbo
74,0,gpt-3.5-turbo
75,0,gpt-3.5-turbo
76,0,gpt-3.5-turbo
77,1,gpt-3.5-turbo
78,1,gpt-3.5-turbo
79,1,gpt-3.5-turbo
80,1,gpt-3.5-turbo
81,0,gpt-3.5-turbo
83,0,gpt-3.5-turbo
84,0,gpt-3.5-turbo
86,0,gpt-3.5-turbo
214,1,gpt-3.5-turbo
215,1,gpt-3.5-turbo
219,0,gpt-3.5-turbo
220,0,gpt-3.5-turbo
224,0,gpt-3.5-turbo
226,1,gpt-3.5-turbo
227,0,gpt-3.5-turbo
229,0,gpt-3.5-turbo
230,1,gpt-3.5-turbo
231,0,gpt-3.5-turbo
232,1,gpt-3.5-turbo
233,0,gpt-3.5-turbo
234,1,gpt-3.5-turbo
235,0,gpt-3.5-turbo
240,0,gpt-3.5-turbo
241,0,gpt-3.5-turbo
242,0,gpt-3.5-turbo
248,1,gpt-3.5-turbo
249,1,gpt-3.5-turbo
250,1,gpt-3.5-turbo
253,1,gpt-3.5-turbo
255,1,gpt-3.5-turbo
256,0,gpt-3.5-turbo
258,1,gpt-3.5-turbo
259,0,gpt-3.5-turbo
260,0,gpt-3.5-turbo
262,0,gpt-3.5-turbo
263,0,gpt-3.5-turbo
264,0,gpt-3.5-turbo
266,0,gpt-3.5-turbo
267,1,gpt-3.5-turbo
268,0,gpt-3.5-turbo
269,1,gpt-3.5-turbo
281,0,gpt-3.5-turbo
282,0,gpt-3.5-turbo
286,0,gpt-3.5-turbo
366,1,gpt-3.5-turbo
369,1,gpt-3.5-turbo
370,1,gpt-3.5-turbo
380,1,gpt-3.5-turbo
381,1,gpt-3.5-turbo
386,1,gpt-3.5-turbo
390,1,gpt-3.5-turbo
392,1,gpt-3.5-turbo
395,0,gpt-3.5-turbo
396,0,gpt-3.5-turbo
401,0,gpt-3.5-turbo
404,0,gpt-3.5-turbo
405,0,gpt-3.5-turbo
406,1,gpt-3.5-turbo
410,0,gpt-3.5-turbo
413,1,gpt-3.5-turbo
414,1,gpt-3.5-turbo
420,0,gpt-3.5-turbo
423,1,gpt-3.5-turbo
424,0,gpt-3.5-turbo
427,1,gpt-3.5-turbo
430,0,gpt-3.5-turbo
431,1,gpt-3.5-turbo
433,1,gpt-3.5-turbo
442,0,gpt-3.5-turbo
443,1,gpt-3.5-turbo
444,1,gpt-3.5-turbo
