task_id,result_return_code,model_name
1,0,deepseek-coder-6.7b-instruct
5,0,deepseek-coder-6.7b-instruct
6,1,deepseek-coder-6.7b-instruct
8,1,deepseek-coder-6.7b-instruct
9,0,deepseek-coder-6.7b-instruct
11,0,deepseek-coder-6.7b-instruct
12,0,deepseek-coder-6.7b-instruct
13,1,deepseek-coder-6.7b-instruct
17,0,deepseek-coder-6.7b-instruct
18,1,deepseek-coder-6.7b-instruct
19,0,deepseek-coder-6.7b-instruct
20,1,deepseek-coder-6.7b-instruct
21,1,deepseek-coder-6.7b-instruct
22,1,deepseek-coder-6.7b-instruct
23,0,deepseek-coder-6.7b-instruct
24,1,deepseek-coder-6.7b-instruct
25,1,deepseek-coder-6.7b-instruct
26,0,deepseek-coder-6.7b-instruct
27,1,deepseek-coder-6.7b-instruct
31,1,deepseek-coder-6.7b-instruct
35,1,deepseek-coder-6.7b-instruct
36,0,deepseek-coder-6.7b-instruct
37,1,deepseek-coder-6.7b-instruct
41,0,deepseek-coder-6.7b-instruct
42,1,deepseek-coder-6.7b-instruct
43,1,deepseek-coder-6.7b-instruct
44,0,deepseek-coder-6.7b-instruct
45,1,deepseek-coder-6.7b-instruct
46,0,deepseek-coder-6.7b-instruct
51,1,deepseek-coder-6.7b-instruct
52,0,deepseek-coder-6.7b-instruct
54,1,deepseek-coder-6.7b-instruct
55,0,deepseek-coder-6.7b-instruct
56,1,deepseek-coder-6.7b-instruct
57,1,deepseek-coder-6.7b-instruct
58,1,deepseek-coder-6.7b-instruct
59,1,deepseek-coder-6.7b-instruct
60,1,deepseek-coder-6.7b-instruct
62,0,deepseek-coder-6.7b-instruct
64,1,deepseek-coder-6.7b-instruct
65,0,deepseek-coder-6.7b-instruct
67,1,deepseek-coder-6.7b-instruct
68,1,deepseek-coder-6.7b-instruct
71,1,deepseek-coder-6.7b-instruct
72,1,deepseek-coder-6.7b-instruct
73,0,deepseek-coder-6.7b-instruct
74,1,deepseek-coder-6.7b-instruct
75,1,deepseek-coder-6.7b-instruct
76,1,deepseek-coder-6.7b-instruct
77,1,deepseek-coder-6.7b-instruct
78,1,deepseek-coder-6.7b-instruct
79,1,deepseek-coder-6.7b-instruct
80,1,deepseek-coder-6.7b-instruct
81,1,deepseek-coder-6.7b-instruct
83,0,deepseek-coder-6.7b-instruct
86,1,deepseek-coder-6.7b-instruct
214,1,deepseek-coder-6.7b-instruct
215,1,deepseek-coder-6.7b-instruct
219,1,deepseek-coder-6.7b-instruct
220,1,deepseek-coder-6.7b-instruct
224,1,deepseek-coder-6.7b-instruct
226,1,deepseek-coder-6.7b-instruct
227,1,deepseek-coder-6.7b-instruct
229,1,deepseek-coder-6.7b-instruct
230,0,deepseek-coder-6.7b-instruct
231,1,deepseek-coder-6.7b-instruct
232,1,deepseek-coder-6.7b-instruct
233,0,deepseek-coder-6.7b-instruct
234,1,deepseek-coder-6.7b-instruct
235,0,deepseek-coder-6.7b-instruct
240,1,deepseek-coder-6.7b-instruct
241,1,deepseek-coder-6.7b-instruct
242,0,deepseek-coder-6.7b-instruct
248,1,deepseek-coder-6.7b-instruct
249,1,deepseek-coder-6.7b-instruct
250,1,deepseek-coder-6.7b-instruct
253,1,deepseek-coder-6.7b-instruct
255,1,deepseek-coder-6.7b-instruct
256,1,deepseek-coder-6.7b-instruct
258,1,deepseek-coder-6.7b-instruct
259,1,deepseek-coder-6.7b-instruct
260,1,deepseek-coder-6.7b-instruct
262,1,deepseek-coder-6.7b-instruct
263,1,deepseek-coder-6.7b-instruct
264,1,deepseek-coder-6.7b-instruct
266,1,deepseek-coder-6.7b-instruct
267,1,deepseek-coder-6.7b-instruct
268,0,deepseek-coder-6.7b-instruct
269,0,deepseek-coder-6.7b-instruct
281,1,deepseek-coder-6.7b-instruct
282,0,deepseek-coder-6.7b-instruct
286,1,deepseek-coder-6.7b-instruct
366,1,deepseek-coder-6.7b-instruct
369,1,deepseek-coder-6.7b-instruct
370,1,deepseek-coder-6.7b-instruct
380,1,deepseek-coder-6.7b-instruct
381,1,deepseek-coder-6.7b-instruct
390,1,deepseek-coder-6.7b-instruct
392,0,deepseek-coder-6.7b-instruct
395,0,deepseek-coder-6.7b-instruct
396,0,deepseek-coder-6.7b-instruct
401,1,deepseek-coder-6.7b-instruct
404,1,deepseek-coder-6.7b-instruct
405,0,deepseek-coder-6.7b-instruct
406,1,deepseek-coder-6.7b-instruct
410,1,deepseek-coder-6.7b-instruct
413,1,deepseek-coder-6.7b-instruct
414,1,deepseek-coder-6.7b-instruct
420,1,deepseek-coder-6.7b-instruct
423,1,deepseek-coder-6.7b-instruct
424,0,deepseek-coder-6.7b-instruct
427,1,deepseek-coder-6.7b-instruct
430,1,deepseek-coder-6.7b-instruct
431,1,deepseek-coder-6.7b-instruct
433,1,deepseek-coder-6.7b-instruct
442,0,deepseek-coder-6.7b-instruct
