task_id,result_return_code,model
633,1,chatglm-6b
498,1,chatglm-6b
266,1,chatglm-6b
148,1,chatglm-6b
13,1,chatglm-6b
626,1,chatglm-6b
414,1,chatglm-6b
493,1,chatglm-6b
215,1,chatglm-6b
21,1,chatglm-6b
404,1,chatglm-6b
46,1,chatglm-6b
406,1,chatglm-6b
518,1,chatglm-6b
492,1,chatglm-6b
583,1,chatglm-6b
334,1,chatglm-6b
369,1,chatglm-6b
291,1,chatglm-6b
481,1,chatglm-6b
424,1,chatglm-6b
67,1,chatglm-6b
625,1,chatglm-6b
78,1,chatglm-6b
87,1,chatglm-6b
522,1,chatglm-6b
116,1,chatglm-6b
343,1,chatglm-6b
224,1,chatglm-6b
132,1,chatglm-6b
200,1,chatglm-6b
47,1,chatglm-6b
130,1,chatglm-6b
227,1,chatglm-6b
127,1,chatglm-6b
77,1,chatglm-6b
231,1,chatglm-6b
111,1,chatglm-6b
537,1,chatglm-6b
74,1,chatglm-6b
196,1,chatglm-6b
342,1,chatglm-6b
202,1,chatglm-6b
410,1,chatglm-6b
197,1,chatglm-6b
401,1,chatglm-6b
142,1,chatglm-6b
93,1,chatglm-6b
71,1,chatglm-6b
381,1,chatglm-6b
483,1,chatglm-6b
365,1,chatglm-6b
582,1,chatglm-6b
585,1,chatglm-6b
229,1,chatglm-6b
104,1,chatglm-6b
258,1,chatglm-6b
443,1,chatglm-6b
485,1,chatglm-6b
139,1,chatglm-6b
72,1,chatglm-6b
445,1,chatglm-6b
578,1,chatglm-6b
125,1,chatglm-6b
292,1,chatglm-6b
474,1,chatglm-6b
159,1,chatglm-6b
571,1,chatglm-6b
189,1,chatglm-6b
152,1,chatglm-6b
230,1,chatglm-6b
131,1,chatglm-6b
313,1,chatglm-6b
203,1,chatglm-6b
173,1,chatglm-6b
118,1,chatglm-6b
370,1,chatglm-6b
214,1,chatglm-6b
525,1,chatglm-6b
517,1,chatglm-6b
140,1,chatglm-6b
8,1,chatglm-6b
161,1,chatglm-6b
75,1,chatglm-6b
183,1,chatglm-6b
527,1,chatglm-6b
176,1,chatglm-6b
58,1,chatglm-6b
103,1,chatglm-6b
555,1,chatglm-6b
144,1,chatglm-6b
141,1,chatglm-6b
164,1,chatglm-6b
499,1,chatglm-6b
482,1,chatglm-6b
535,1,chatglm-6b
18,1,chatglm-6b
413,1,chatglm-6b
581,1,chatglm-6b
22,1,chatglm-6b
113,1,chatglm-6b
80,1,chatglm-6b
486,1,chatglm-6b
546,1,chatglm-6b
331,1,chatglm-6b
471,1,chatglm-6b
586,1,chatglm-6b
390,1,chatglm-6b
45,1,chatglm-6b
632,1,chatglm-6b
318,1,chatglm-6b
505,1,chatglm-6b
250,1,chatglm-6b
470,1,chatglm-6b
41,1,chatglm-6b
191,1,chatglm-6b
150,1,chatglm-6b
616,1,chatglm-6b
299,1,chatglm-6b
31,1,chatglm-6b
358,1,chatglm-6b
19,1,chatglm-6b
542,1,chatglm-6b
35,1,chatglm-6b
52,1,chatglm-6b
512,1,chatglm-6b
584,1,chatglm-6b
241,1,chatglm-6b
170,1,chatglm-6b
240,1,chatglm-6b
153,1,chatglm-6b
134,1,chatglm-6b
6,1,chatglm-6b
590,1,chatglm-6b
180,1,chatglm-6b
380,1,chatglm-6b
253,1,chatglm-6b
234,1,chatglm-6b
232,1,chatglm-6b
444,1,chatglm-6b
160,1,chatglm-6b
570,1,chatglm-6b
219,1,chatglm-6b
89,1,chatglm-6b
154,1,chatglm-6b
174,1,chatglm-6b
110,1,chatglm-6b
20,1,chatglm-6b
506,1,chatglm-6b
449,1,chatglm-6b
256,1,chatglm-6b
233,1,chatglm-6b
204,1,chatglm-6b
122,1,chatglm-6b
112,0,chatglm-6b
349,0,chatglm-6b
157,0,chatglm-6b
595,0,chatglm-6b
145,0,chatglm-6b
543,0,chatglm-6b
536,0,chatglm-6b
300,0,chatglm-6b
569,0,chatglm-6b
529,0,chatglm-6b
65,0,chatglm-6b
592,0,chatglm-6b
606,0,chatglm-6b
305,0,chatglm-6b
155,0,chatglm-6b
165,0,chatglm-6b
96,0,chatglm-6b
135,0,chatglm-6b
558,0,chatglm-6b
501,0,chatglm-6b
84,0,chatglm-6b
460,0,chatglm-6b
220,0,chatglm-6b
281,0,chatglm-6b
572,0,chatglm-6b
68,0,chatglm-6b
354,0,chatglm-6b
348,0,chatglm-6b
269,0,chatglm-6b
167,0,chatglm-6b
11,0,chatglm-6b
576,0,chatglm-6b
594,0,chatglm-6b
56,0,chatglm-6b
83,0,chatglm-6b
107,0,chatglm-6b
5,0,chatglm-6b
263,0,chatglm-6b
317,0,chatglm-6b
494,0,chatglm-6b
511,0,chatglm-6b
496,0,chatglm-6b
532,0,chatglm-6b
519,0,chatglm-6b
259,0,chatglm-6b
209,0,chatglm-6b
286,0,chatglm-6b
320,0,chatglm-6b
158,0,chatglm-6b
611,0,chatglm-6b
520,0,chatglm-6b
560,0,chatglm-6b
523,0,chatglm-6b
341,0,chatglm-6b
143,0,chatglm-6b
322,0,chatglm-6b
62,0,chatglm-6b
129,0,chatglm-6b
605,0,chatglm-6b
552,0,chatglm-6b
115,0,chatglm-6b
614,0,chatglm-6b
166,0,chatglm-6b
540,0,chatglm-6b
589,0,chatglm-6b
114,0,chatglm-6b
609,0,chatglm-6b
547,0,chatglm-6b
235,0,chatglm-6b
450,0,chatglm-6b
598,0,chatglm-6b
521,0,chatglm-6b
163,0,chatglm-6b
356,0,chatglm-6b
198,0,chatglm-6b
352,0,chatglm-6b
604,0,chatglm-6b
507,0,chatglm-6b
146,0,chatglm-6b
117,0,chatglm-6b
188,0,chatglm-6b
81,0,chatglm-6b
601,0,chatglm-6b
206,0,chatglm-6b
177,0,chatglm-6b
533,0,chatglm-6b
108,0,chatglm-6b
101,0,chatglm-6b
123,0,chatglm-6b
514,0,chatglm-6b
599,0,chatglm-6b
597,0,chatglm-6b
559,0,chatglm-6b
99,0,chatglm-6b
88,0,chatglm-6b
396,0,chatglm-6b
526,0,chatglm-6b
530,0,chatglm-6b
178,0,chatglm-6b
120,0,chatglm-6b
133,0,chatglm-6b
323,0,chatglm-6b
298,0,chatglm-6b
106,0,chatglm-6b
515,0,chatglm-6b
187,0,chatglm-6b
557,0,chatglm-6b
392,0,chatglm-6b
17,0,chatglm-6b
267,0,chatglm-6b
205,0,chatglm-6b
137,0,chatglm-6b
442,0,chatglm-6b
500,0,chatglm-6b
615,0,chatglm-6b
603,0,chatglm-6b
447,0,chatglm-6b
190,0,chatglm-6b
326,0,chatglm-6b
355,0,chatglm-6b
567,0,chatglm-6b
319,0,chatglm-6b
534,0,chatglm-6b
395,0,chatglm-6b
315,0,chatglm-6b
23,0,chatglm-6b
242,0,chatglm-6b
566,0,chatglm-6b
282,0,chatglm-6b
100,0,chatglm-6b
545,0,chatglm-6b
405,0,chatglm-6b
1,0,chatglm-6b
210,0,chatglm-6b
306,0,chatglm-6b
431,0,chatglm-6b
495,0,chatglm-6b
308,0,chatglm-6b
538,0,chatglm-6b
268,0,chatglm-6b
138,0,chatglm-6b
97,0,chatglm-6b
73,0,chatglm-6b
575,0,chatglm-6b
565,0,chatglm-6b
121,0,chatglm-6b
430,0,chatglm-6b
350,0,chatglm-6b
76,0,chatglm-6b
541,0,chatglm-6b
95,0,chatglm-6b
79,0,chatglm-6b
55,0,chatglm-6b
293,0,chatglm-6b
12,0,chatglm-6b
42,0,chatglm-6b
487,0,chatglm-6b
9,0,chatglm-6b
168,0,chatglm-6b
357,0,chatglm-6b
44,0,chatglm-6b
544,0,chatglm-6b
207,0,chatglm-6b
630,0,chatglm-6b
475,0,chatglm-6b
36,0,chatglm-6b
147,0,chatglm-6b
124,0,chatglm-6b
510,0,chatglm-6b
462,0,chatglm-6b
169,0,chatglm-6b
476,0,chatglm-6b
162,0,chatglm-6b
513,0,chatglm-6b
109,0,chatglm-6b
26,0,chatglm-6b
86,0,chatglm-6b
43,0,chatglm-6b
577,0,chatglm-6b
156,0,chatglm-6b
59,1,chatglm-6b
551,1,chatglm-6b
524,1,chatglm-6b
509,1,chatglm-6b
64,1,chatglm-6b
631,1,chatglm-6b
60,1,chatglm-6b
70,1,chatglm-6b
628,1,chatglm-6b
528,1,chatglm-6b
612,1,chatglm-6b
57,1,chatglm-6b
54,1,chatglm-6b
465,1,chatglm-6b
516,1,chatglm-6b
427,1,chatglm-6b
366,1,chatglm-6b
423,1,chatglm-6b
451,1,chatglm-6b
386,1,chatglm-6b
420,1,chatglm-6b
488,1,chatglm-6b
490,1,chatglm-6b
37,1,chatglm-6b
264,1,chatglm-6b
27,1,chatglm-6b
248,1,chatglm-6b
262,1,chatglm-6b
260,1,chatglm-6b
25,1,chatglm-6b
468,1,chatglm-6b
181,1,chatglm-6b
249,1,chatglm-6b
24,1,chatglm-6b
255,1,chatglm-6b
226,1,chatglm-6b
184,1,chatglm-6b
151,1,chatglm-6b
179,1,chatglm-6b
119,0,chatglm-6b
92,1,chatglm-6b
