,task_id,pass_5
0,1,1.0
1,5,1.0
2,6,1.0
3,8,1.0
4,9,1.0
5,11,1.0
6,12,1.0
7,13,0.7777777777777778
8,17,1.0
9,18,0.0
10,19,1.0
11,20,0.9166666666666666
12,21,1.0
13,22,1.0
14,23,1.0
15,24,1.0
16,25,1.0
17,26,1.0
18,27,0.9761904761904762
19,28,1.0
20,31,1.0
21,35,0.9166666666666666
22,36,1.0
23,41,0.7777777777777778
24,42,1.0
25,43,1.0
26,44,1.0
27,45,1.0
28,46,1.0
29,47,0.9166666666666666
30,52,1.0
31,54,0.9166666666666666
32,55,0.0
33,56,1.0
34,58,1.0
35,59,1.0
36,60,0.9166666666666666
37,62,1.0
38,64,0.0
39,65,1.0
40,67,0.0
41,68,1.0
42,70,1.0
43,71,1.0
44,72,0.0
45,73,1.0
46,74,1.0
47,75,0.9166666666666666
48,76,1.0
49,77,0.0
50,78,0.7777777777777778
51,79,0.0
52,80,1.0
53,81,1.0
54,83,1.0
55,84,0.0
56,86,1.0
57,214,0.0
58,215,0.5
59,219,1.0
60,220,0.0
61,224,0.0
62,226,0.0
63,227,0.0
64,229,0.5
65,230,0.7777777777777778
66,231,0.0
67,232,0.5
68,233,0.5
69,234,0.0
70,235,1.0
71,241,0.0
72,242,1.0
73,248,0.0
74,250,0.0
75,255,0.0
76,256,1.0
77,259,1.0
78,260,1.0
79,262,1.0
80,263,1.0
81,264,1.0
82,266,0.5
83,267,0.7777777777777778
84,268,1.0
85,269,0.0
86,281,0.5
87,282,0.5
88,286,1.0
89,290,1.0
90,291,1.0
91,369,1.0
92,370,0.0
93,380,1.0
94,381,1.0
95,386,1.0
96,390,1.0
97,392,1.0
98,395,1.0
99,396,0.0
100,401,1.0
101,404,1.0
102,405,0.0
103,406,1.0
104,410,1.0
105,412,0.0
106,413,0.0
107,420,0.0
108,423,1.0
109,424,1.0
110,427,0.0
111,430,1.0
112,431,1.0
113,433,0.0
114,443,0.0
115,444,0.0
116,445,0.0
117,451,0.0
118,460,0.0
119,462,1.0
120,465,1.0
121,468,0.0
122,469,0.0
123,470,0.0
124,471,0.0
125,474,1.0
126,475,1.0
127,476,1.0
128,482,0.0
129,483,0.0
130,485,0.0
131,486,1.0
132,487,1.0
133,488,1.0
134,490,1.0
135,492,0.0
136,493,1.0
137,494,0.0
138,495,1.0
139,496,1.0
140,498,0.0
141,499,0.0
142,500,0.0
143,501,1.0
144,505,1.0
145,506,1.0
146,507,1.0
147,509,1.0
148,510,1.0
149,512,1.0
150,513,1.0
151,514,0.0
152,515,1.0
153,516,0.0
154,517,1.0
155,518,1.0
156,519,1.0
157,520,0.0
158,521,0.0
159,522,1.0
160,523,1.0
161,524,0.0
162,525,0.0
163,526,1.0
164,527,0.0
165,546,1.0
166,547,1.0
167,551,1.0
168,552,0.0
169,555,1.0
170,557,1.0
171,558,1.0
172,88,1.0
173,89,1.0
174,92,1.0
175,93,1.0
176,95,0.7777777777777778
177,96,0.7777777777777778
178,97,1.0
179,99,0.0
180,100,0.0
181,101,1.0
182,103,0.5
183,106,0.7777777777777778
184,107,1.0
185,108,1.0
186,110,1.0
187,112,1.0
188,116,0.0
189,117,1.0
190,118,0.0
191,121,1.0
192,122,1.0
193,123,1.0
194,124,1.0
195,125,0.0
196,129,0.0
197,130,1.0
198,133,1.0
199,134,0.0
200,135,0.0
201,138,1.0
202,139,0.0
203,292,0.0
204,298,0.0
205,299,1.0
206,308,0.0
207,315,1.0
208,317,1.0
209,318,1.0
210,319,1.0
211,320,1.0
212,322,1.0
213,323,1.0
214,326,1.0
215,447,1.0
216,450,1.0
217,528,0.0
218,529,0.0
219,530,0.0
220,532,1.0
221,533,1.0
222,534,0.0
223,535,0.0
224,536,1.0
225,537,0.0
226,540,1.0
227,541,0.0
228,542,1.0
229,543,1.0
230,544,1.0
231,545,0.0
232,559,1.0
233,560,1.0
234,140,0.0
235,142,0.0
236,143,0.0
237,144,0.0
238,145,0.0
239,146,1.0
240,150,1.0
241,151,1.0
242,153,0.0
243,155,1.0
244,156,1.0
245,157,1.0
246,158,1.0
247,159,1.0
248,160,0.0
249,161,0.0
250,162,1.0
251,165,0.9166666666666666
252,166,1.0
253,167,0.7777777777777778
254,168,1.0
255,169,1.0
256,331,0.9166666666666666
257,334,1.0
258,341,1.0
259,342,1.0
260,565,1.0
261,566,1.0
262,567,0.9166666666666666
263,569,1.0
264,571,0.7777777777777778
265,575,1.0
266,576,1.0
267,577,1.0
268,578,1.0
269,581,1.0
270,582,1.0
271,583,1.0
272,584,1.0
273,585,1.0
274,586,0.7777777777777778
275,170,1.0
276,173,1.0
277,174,1.0
278,176,0.0
279,177,1.0
280,178,1.0
281,179,0.7777777777777778
282,180,0.0
283,181,0.0
284,182,0.0
285,348,1.0
286,349,0.0
287,350,0.7777777777777778
288,351,1.0
289,352,1.0
290,609,1.0
291,611,0.0
292,612,0.0
293,614,1.0
294,615,1.0
295,616,1.0
296,617,0.0
297,625,0.7777777777777778
298,626,0.0
299,628,0.0
300,630,1.0
301,631,0.0
302,632,1.0
303,633,0.0
304,183,0.5
305,184,0.7777777777777778
306,187,0.7777777777777778
307,188,1.0
308,189,1.0
309,190,0.0
310,191,0.0
311,192,0.9166666666666666
312,193,0.5
313,194,1.0
314,195,0.0
315,196,1.0
316,197,0.5
317,198,1.0
318,200,0.0
319,202,1.0
320,203,1.0
321,204,1.0
322,205,1.0
323,206,1.0
324,207,0.0
325,209,0.9166666666666666
326,210,1.0
327,354,1.0
328,355,1.0
329,356,1.0
330,357,1.0
331,358,1.0
332,359,1.0
333,360,1.0
334,361,1.0
335,365,1.0
336,481,1.0
337,589,1.0
338,590,1.0
339,591,1.0
340,592,1.0
341,594,1.0
342,595,1.0
343,597,1.0
344,598,1.0
345,599,1.0
346,601,1.0
347,603,1.0
348,604,1.0
349,605,1.0
350,606,1.0
